Year,Area of residence,Sex,Age group,Sub-indicators,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,Men,,,
2010,,Women,,,
2010,,,0-17,,
2010,,,15+,,
2010,,,57f+/62b+,,
2010,,,,Access to electricity,
2010,,,,Access to safely managed water sources,
2010,,,,Access to sewerage,
2010,,,,Internet access,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Men,,,
2011,,Women,,,
2011,,,0-17,,
2011,,,15+,,
2011,,,57f+/62b+,,
2011,,,,Access to electricity,
2011,,,,Access to safely managed water sources,
2011,,,,Access to sewerage,
2011,,,,Internet access,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,Men,,,
2012,,Women,,,
2012,,,0-17,,
2012,,,15+,,
2012,,,57f+/62b+,,
2012,,,,Access to electricity,
2012,,,,Access to safely managed water sources,
2012,,,,Access to sewerage,
2012,,,,Internet access,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Men,,,
2013,,Women,,,
2013,,,0-17,,
2013,,,15+,,
2013,,,57f+/62b+,,
2013,,,,Access to electricity,
2013,,,,Access to safely managed water sources,
2013,,,,Access to sewerage,
2013,,,,Internet access,
2014,,,,,62.5
2014,Urban,,,,92.8
2014,Rural,,,,40.8
2014,,Men,,,62.7
2014,,Women,,,62.4
2014,,,0-17,,62.5
2014,,,15+,,62.6
2014,,,57f+/62b+,,52.7
2014,,,,Access to electricity,100.0
2014,,,,Access to safely managed water sources,99.0
2014,,,,Access to sewerage,62.8
2014,,,,Internet access,
2015,,,,,66.1
2015,Urban,,,,93.5
2015,Rural,,,,46.5
2015,,Men,,,65.9
2015,,Women,,,66.3
2015,,,0-17,,66.4
2015,,,15+,,65.9
2015,,,57f+/62b+,,56.5
2015,,,,Access to electricity,100.0
2015,,,,Access to safely managed water sources,99.0
2015,,,,Access to sewerage,66.6
2015,,,,Internet access,
2016,,,,,66.7
2016,Urban,,,,92.0
2016,Rural,,,,48.4
2016,,Men,,,66.0
2016,,Women,,,67.2
2016,,,0-17,,66.3
2016,,,15+,,66.5
2016,,,57f+/62b+,,59.0
2016,,,,Access to electricity,100.0
2016,,,,Access to safely managed water sources,99.2
2016,,,,Access to sewerage,67.1
2016,,,,Internet access,
2017,,,,,69.2
2017,Urban,,,,93.4
2017,Rural,,,,52.3
2017,,Men,,,69.4
2017,,Women,,,69.1
2017,,,0-17,,67.2
2017,,,15+,,69.4
2017,,,57f+/62b+,,62.7
2017,,,,Access to electricity,100.0
2017,,,,Access to safely managed water sources,99.6
2017,,,,Access to sewerage,69.5
2017,,,,Internet access,
2018,,,,,72.1
2018,Urban,,,,95.1
2018,Rural,,,,56.1
2018,,Men,,,72.3
2018,,Women,,,72.0
2018,,,0-17,,73.2
2018,,,15+,,71.6
2018,,,57f+/62b+,,65.7
2018,,,,Access to electricity,100.0
2018,,,,Access to safely managed water sources,99.7
2018,,,,Access to sewerage,72.3
2018,,,,Internet access,
