Year,Value
2010,0.52083
2010,0.54945
2010,0.53476
2010,0.54945
2010,1.85185
2010,0.65359
2011,0.51813
2011,
2011,
2011,
2011,1.85185
2011,
2012,0.51813
2012,
2012,
2012,
2012,1.85185
2012,
2013,0.51813
2013,
2013,
2013,
2013,
2013,
2014,0.51813
2014,
2014,
2014,
2014,
2014,
2015,0.51813
2015,0.54348
2015,0.53191
2015,0.53191
2015,
2015,0.625
2016,0.51813
2016,0.54348
2016,0.53191
2016,0.53191
2016,1.85185
2016,0.61728
2017,0.51813
2017,0.54348
2017,0.5291
2017,0.5291
2017,1.85185
2017,0.6097600000000001
2018,0.51813
2018,0.54348
2018,0.5291
2018,0.5291
2018,1.85185
2018,0.6097600000000001
