Year,Sources,Ingredients,Value
2010,,,154.8
2010,Auto,,146.5
2010,Railway,,1.6
2010,Air,,6.7
2010,,Carbon monoxide,109.2
2010,,Nitrogen dioxide,15.8
2010,,Sulphur dioxide,3.9
2010,,Hydrocarbs,15.0
2010,,Aldehydes,8.3
2010,,Solids,2.6
2011,,,188.7
2011,Auto,,174.8
2011,Railway,,4.0
2011,Air,,9.9
2011,,Carbon monoxide,134.7
2011,,Nitrogen dioxide,18.4
2011,,Sulphur dioxide,4.5
2011,,Hydrocarbs,21.0
2011,,Aldehydes,7.4
2011,,Solids,2.7
2012,,,154.2
2012,Auto,,140.1
2012,Railway,,2.7
2012,Air,,11.4
2012,,Carbon monoxide,118.3
2012,,Nitrogen dioxide,14.3
2012,,Sulphur dioxide,3.3
2012,,Hydrocarbs,15.1
2012,,Aldehydes,1.0
2012,,Solids,2.0
2013,,,226.6
2013,Auto,,213.1
2013,Railway,,2.8
2013,Air,,10.7
2013,,Carbon monoxide,165.1
2013,,Nitrogen dioxide,24.9
2013,,Sulphur dioxide,6.7
2013,,Hydrocarbs,24.2
2013,,Aldehydes,1.7
2013,,Solids,4.0
2014,,,194.3
2014,Auto,,179.0
2014,Railway,,2.7
2014,Air,,12.6
2014,,Carbon monoxide,149.2
2014,,Nitrogen dioxide,16.0
2014,,Sulphur dioxide,3.5
2014,,Hydrocarbs,22.4
2014,,Aldehydes,1.0
2014,,Solids,2.2
2015,,,194.3
2015,Auto,,178.9
2015,Railway,,2.7
2015,Air,,12.6
2015,,Carbon monoxide,149.2
2015,,Nitrogen dioxide,16.0
2015,,Sulphur dioxide,3.5
2015,,Hydrocarbs,22.4
2015,,Aldehydes,1.0
2015,,Solids,2.2
2016,,,201.5
2016,Auto,,166.0
2016,Railway,,2.9
2016,Air,,32.6
2016,,Carbon monoxide,144.8
2016,,Nitrogen dioxide,19.8
2016,,Sulphur dioxide,5.1
2016,,Hydrocarbs,21.6
2016,,Aldehydes,7.0
2016,,Solids,3.2
2017,,,322.3
2017,Auto,,296.0
2017,Railway,,2.4
2017,Air,,23.9
2017,,Carbon monoxide,247.1
2017,,Nitrogen dioxide,29.9
2017,,Sulphur dioxide,7.0
2017,,Hydrocarbs,31.9
2017,,Aldehydes,2.0
2017,,Solids,4.4
2018,,,227.9
2018,Auto,,198.1
2018,Railway,,2.0
2018,Air,,27.8
2018,,Carbon monoxide,167.1
2018,,Nitrogen dioxide,25.0
2018,,Sulphur dioxide,6.6
2018,,Hydrocarbs,23.3
2018,,Aldehydes,1.8
2018,,Solids,4.1
