Year,Sex,Age groups of the victim,Means of committing,Context/reason,Value
2010,,,,,
2010,Men,,,,
2010,Women,,,,
2010,,0-17 years,,,
2010,,18 years and over,,,
2010,,,Firearms and explosive substances,,
2010,,,"White weapons (knife, sharp objects)",,
2010,,,"Tools (row, axe, hammer etc.)",,
2010,,,Other means,,
2010,,,,Revenge,
2010,,,,Jealousy,
2010,,,,Quarrel,
2010,,,,Reason related to family relationships,
2010,,,,To order,
2010,,,,Other reasons,
2011,,,,,
2011,Men,,,,
2011,Women,,,,
2011,,0-17 years,,,
2011,,18 years and over,,,
2011,,,Firearms and explosive substances,,
2011,,,"White weapons (knife, sharp objects)",,
2011,,,"Tools (row, axe, hammer etc.)",,
2011,,,Other means,,
2011,,,,Revenge,
2011,,,,Jealousy,
2011,,,,Quarrel,
2011,,,,Reason related to family relationships,
2011,,,,To order,
2011,,,,Other reasons,
2012,,,,,
2012,Men,,,,
2012,Women,,,,
2012,,0-17 years,,,
2012,,18 years and over,,,
2012,,,Firearms and explosive substances,,
2012,,,"White weapons (knife, sharp objects)",,
2012,,,"Tools (row, axe, hammer etc.)",,
2012,,,Other means,,
2012,,,,Revenge,
2012,,,,Jealousy,
2012,,,,Quarrel,
2012,,,,Reason related to family relationships,
2012,,,,To order,
2012,,,,Other reasons,
2013,,,,,
2013,Men,,,,
2013,Women,,,,
2013,,0-17 years,,,
2013,,18 years and over,,,
2013,,,Firearms and explosive substances,,
2013,,,"White weapons (knife, sharp objects)",,
2013,,,"Tools (row, axe, hammer etc.)",,
2013,,,Other means,,
2013,,,,Revenge,
2013,,,,Jealousy,
2013,,,,Quarrel,
2013,,,,Reason related to family relationships,
2013,,,,To order,
2013,,,,Other reasons,
2014,,,,,6.1
2014,Men,,,,10.5
2014,Women,,,,2.1
2014,,0-17 years,,,0.0
2014,,18 years and over,,,7.8
2014,,,Firearms and explosive substances,,0.2
2014,,,"White weapons (knife, sharp objects)",,1.2
2014,,,"Tools (row, axe, hammer etc.)",,0.3
2014,,,Other means,,4.4
2014,,,,Revenge,0.2
2014,,,,Jealousy,
2014,,,,Quarrel,1.4
2014,,,,Reason related to family relationships,0.4
2014,,,,To order,
2014,,,,Other reasons,4.1
2015,,,,,6.7
2015,Men,,,,10.4
2015,Women,,,,3.2
2015,,0-17 years,,,0.7
2015,,18 years and over,,,8.3
2015,,,Firearms and explosive substances,,0.3
2015,,,"White weapons (knife, sharp objects)",,0.99
2015,,,"Tools (row, axe, hammer etc.)",,0.3
2015,,,Other means,,5.1
2015,,,,Revenge,0.1
2015,,,,Jealousy,0.2
2015,,,,Quarrel,1.2
2015,,,,Reason related to family relationships,0.4
2015,,,,To order,0.0
2015,,,,Other reasons,4.8
2016,,,,,7.1
2016,Men,,,,11.3
2016,Women,,,,3.3
2016,,0-17 years,,,1.7
2016,,18 years and over,,,8.6
2016,,,Firearms and explosive substances,,0.2
2016,,,"White weapons (knife, sharp objects)",,1.3
2016,,,"Tools (row, axe, hammer etc.)",,0.2
2016,,,Other means,,5.4
2016,,,,Revenge,0.1
2016,,,,Jealousy,0.1
2016,,,,Quarrel,0.9
2016,,,,Reason related to family relationships,0.4
2016,,,,To order,
2016,,,,Other reasons,5.6
2017,,,,,5.1
2017,Men,,,,7.96
2017,Women,,,,2.5
2017,,0-17 years,,,2.0
2017,,18 years and over,,,5.98
2017,,,Firearms and explosive substances,,0.5
2017,,,"White weapons (knife, sharp objects)",,1.6
2017,,,"Tools (row, axe, hammer etc.)",,0.5
2017,,,Other means,,2.5
2017,,,,Revenge,0.2
2017,,,,Jealousy,0.2
2017,,,,Quarrel,1.6
2017,,,,Reason related to family relationships,0.4
2017,,,,To order,0.0
2017,,,,Other reasons,2.6
2018,,,,,6.1
2018,Men,,,,9.9
2018,Women,,,,2.7
2018,,0-17 years,,,1.7
2018,,18 years and over,,,7.4
2018,,,Firearms and explosive substances,,0.5
2018,,,"White weapons (knife, sharp objects)",,1.6
2018,,,"Tools (row, axe, hammer etc.)",,0.6
2018,,,Other means,,3.5
2018,,,,Revenge,0.2
2018,,,,Jealousy,0.1
2018,,,,Quarrel,1.5
2018,,,,Reason related to family relationships,0.5
2018,,,,To order,0.0
2018,,,,Other reasons,3.8
