Year,Area of residence,Sex,Age group,level of training of the head of the household,Ethnicity of the head of the household,Wellbeing quintile,Value
2010,,,,,,,
2010,Urban,,,,,,
2010,Rural,,,,,,
2010,,Men,,,,,
2010,,Women,,,,,
2010,,,2-4,,,,
2010,,,5-9,,,,
2010,,,10-14,,,,
2010,,,,Primary and below,,,
2010,,,,Secondary,,,
2010,,,,Professional,,,
2010,,,,Higher,,,
2010,,,,,Moldovan/Romanian,,
2010,,,,,Russian,,
2010,,,,,Ucrainian,,
2010,,,,,Rum,,
2010,,,,,Gagauz,,
2010,,,,,Other,,
2010,,,,,,I,
2010,,,,,,II,
2010,,,,,,III,
2010,,,,,,IV,
2010,,,,,,V,
2011,,,,,,,
2011,Urban,,,,,,
2011,Rural,,,,,,
2011,,Men,,,,,
2011,,Women,,,,,
2011,,,2-4,,,,
2011,,,5-9,,,,
2011,,,10-14,,,,
2011,,,,Primary and below,,,
2011,,,,Secondary,,,
2011,,,,Professional,,,
2011,,,,Higher,,,
2011,,,,,Moldovan/Romanian,,
2011,,,,,Russian,,
2011,,,,,Ucrainian,,
2011,,,,,Rum,,
2011,,,,,Gagauz,,
2011,,,,,Other,,
2011,,,,,,I,
2011,,,,,,II,
2011,,,,,,III,
2011,,,,,,IV,
2011,,,,,,V,
2012,,,,,,,75.6
2012,Urban,,,,,,73.9
2012,Rural,,,,,,76.5
2012,,Men,,,,,77.4
2012,,Women,,,,,73.8
2012,,,2-4,,,,76.2
2012,,,5-9,,,,78.1
2012,,,10-14,,,,72.8
2012,,,,Primary and below,,,83.4
2012,,,,Secondary,,,76.6
2012,,,,Professional,,,75.5
2012,,,,Higher,,,71.1
2012,,,,,Moldovan/Romanian,,75.5
2012,,,,,Russian,,72.9
2012,,,,,Ucrainian,,72.9
2012,,,,,Rum,,77.6
2012,,,,,Gagauz,,87.1
2012,,,,,Other,,71.8
2012,,,,,,I,82.1
2012,,,,,,II,77.0
2012,,,,,,III,74.9
2012,,,,,,IV,71.3
2012,,,,,,V,73.9
2013,,,,,,,
2013,Urban,,,,,,
2013,Rural,,,,,,
2013,,Men,,,,,
2013,,Women,,,,,
2013,,,2-4,,,,
2013,,,5-9,,,,
2013,,,10-14,,,,
2013,,,,Primary and below,,,
2013,,,,Secondary,,,
2013,,,,Professional,,,
2013,,,,Higher,,,
2013,,,,,Moldovan/Romanian,,
2013,,,,,Russian,,
2013,,,,,Ucrainian,,
2013,,,,,Rum,,
2013,,,,,Gagauz,,
2013,,,,,Other,,
2013,,,,,,I,
2013,,,,,,II,
2013,,,,,,III,
2013,,,,,,IV,
2013,,,,,,V,
2014,,,,,,,
2014,Urban,,,,,,
2014,Rural,,,,,,
2014,,Men,,,,,
2014,,Women,,,,,
2014,,,2-4,,,,
2014,,,5-9,,,,
2014,,,10-14,,,,
2014,,,,Primary and below,,,
2014,,,,Secondary,,,
2014,,,,Professional,,,
2014,,,,Higher,,,
2014,,,,,Moldovan/Romanian,,
2014,,,,,Russian,,
2014,,,,,Ucrainian,,
2014,,,,,Rum,,
2014,,,,,Gagauz,,
2014,,,,,Other,,
2014,,,,,,I,
2014,,,,,,II,
2014,,,,,,III,
2014,,,,,,IV,
2014,,,,,,V,
2015,,,,,,,
2015,Urban,,,,,,
2015,Rural,,,,,,
2015,,Men,,,,,
2015,,Women,,,,,
