Year,Duration of arrest,Value
2010,,9.6
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,Up to 3 months,6.7
2010,From 3 to 6 months,2.2
2010,From 6 to 12 months,0.6
2010,More than 12 months,0.2
2011,,10.3
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,,
2011,Up to 3 months,
2011,From 3 to 6 months,
2011,From 6 to 12 months,
2011,More than 12 months,
2012,,11.2
2012,,
2012,,
2012,,
2012,,
2012,,
2012,,
2012,,
2012,,
2012,,
2012,,
2012,,
2012,,
2012,Up to 3 months,6.1
2012,From 3 to 6 months,3.4
2012,From 6 to 12 months,1.4
2012,More than 12 months,0.3
2013,,11.8
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,,
2013,Up to 3 months,6.0
2013,From 3 to 6 months,4.2
2013,From 6 to 12 months,1.2
2013,More than 12 months,0.4
2014,,10.4
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,Up to 3 months,4.3
2014,From 3 to 6 months,3.6
2014,From 6 to 12 months,1.4
2014,More than 12 months,1.1
2015,,11.7
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,Up to 3 months,5.3
2015,From 3 to 6 months,4.4
2015,From 6 to 12 months,1.4
2015,More than 12 months,0.6
2016,,8.8
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,Up to 3 months,4.5
2016,From 3 to 6 months,2.3
2016,From 6 to 12 months,2.0
2016,More than 12 months,0.0
2017,,9.2
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,Up to 3 months,6.0
2017,From 3 to 6 months,2.4
2017,From 6 to 12 months,0.9
2017,More than 12 months,0.0
2018,,6.8
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,Up to 3 months,4.4
2018,From 3 to 6 months,1.5
2018,From 6 to 12 months,0.9
2018,More than 12 months,0.0
