Year,Total,Area of residence,Sex,Value
2010,Total,,,13.6
2010,,Urban,,11.8
2010,,Rural,,14.7
2010,,,Man,16.2
2010,,,Woman,10.9
2011,Total,,,13.4
2011,,Urban,,10.8
2011,,Rural,,15.1
2011,,,Man,16.1
2011,,,Woman,10.6
2012,Total,,,12.1
2012,,Urban,,9.5
2012,,Rural,,13.7
2012,,,Man,12.1
2012,,,Woman,12.1
2013,Total,,,11.9
2013,,Urban,,11.7
2013,,Rural,,11.9
2013,,,Man,11.8
2013,,,Woman,11.9
2014,Total,,,11.7
2014,,Urban,,9.3
2014,,Rural,,13.0
2014,,,Man,13.4
2014,,,Woman,9.7
2015,Total,,,11.7
2015,,Urban,,10.8
2015,,Rural,,12.2
2015,,,Man,13.8
2015,,,Woman,9.5
2016,Total,,,11.7
2016,,Urban,,10.3
2016,,Rural,,12.4
2016,,,Man,13.0
2016,,,Woman,10.3
2017,Total,,,11.4
2017,,Urban,,10.3
2017,,Rural,,12.1
2017,,,Man,12.4
2017,,,Woman,10.3
2018,Total,,,11.8
2018,,Urban,,11.1
2018,,Rural,,12.2
2018,,,Man,13.4
2018,,,Woman,10.1
