Year,Area of residence,Sex,Age group,Quintiles on consumption expenditures,Value
2010,,,,,17.1
2010,Urban,,,,18.2
2010,Rural,,,,16.3
2010,,Men,,,33.9
2010,,Women,,,2.0
2010,,,15-24,,12.8
2010,,,25-34,,19.2
2010,,,35-44,,24.5
2010,,,45-54,,17.9
2010,,,55-64,,18.5
2010,,,65-74,,13.2
2010,,,75+,,2.3
2010,,,,I,19.2
2010,,,,II,18.9
2010,,,,III,15.4
2010,,,,IV,16.3
2010,,,,V,16.1
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Men,,,
2011,,Women,,,
2011,,,15-24,,
2011,,,25-34,,
2011,,,35-44,,
2011,,,45-54,,
2011,,,55-64,,
2011,,,65-74,,
2011,,,75+,,
2011,,,,I,
2011,,,,II,
2011,,,,III,
2011,,,,IV,
2011,,,,V,
2012,,,,,16.1
2012,Urban,,,,16.1
2012,Rural,,,,16.1
2012,,Men,,,32.9
2012,,Women,,,3.3
2012,,,15-24,,14.0
2012,,,25-34,,19.0
2012,,,35-44,,20.3
2012,,,45-54,,22.0
2012,,,55-64,,13.5
2012,,,65-74,,5.2
2012,,,75+,,1.8
2012,,,,I,16.7
2012,,,,II,13.2
2012,,,,III,17.5
2012,,,,IV,13.8
2012,,,,V,19.1
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Men,,,
2013,,Women,,,
2013,,,15-24,,
2013,,,25-34,,
2013,,,35-44,,
2013,,,45-54,,
2013,,,55-64,,
2013,,,65-74,,
2013,,,75+,,
2013,,,,I,
2013,,,,II,
2013,,,,III,
2013,,,,IV,
2013,,,,V,
2014,,,,,
2014,Urban,,,,
2014,Rural,,,,
2014,,Men,,,
2014,,Women,,,
2014,,,15-24,,
2014,,,25-34,,
2014,,,35-44,,
2014,,,45-54,,
2014,,,55-64,,
2014,,,65-74,,
2014,,,75+,,
2014,,,,I,
2014,,,,II,
2014,,,,III,
2014,,,,IV,
2014,,,,V,
2015,,,,,
2015,Urban,,,,
2015,Rural,,,,
2015,,Men,,,
2015,,Women,,,
2015,,,15-24,,
2015,,,25-34,,
2015,,,35-44,,
2015,,,45-54,,
2015,,,55-64,,
2015,,,65-74,,
2015,,,75+,,
2015,,,,I,
2015,,,,II,
2015,,,,III,
2015,,,,IV,
2015,,,,V,
2016,,,,,15.2
2016,Urban,,,,17.9
2016,Rural,,,,13.1
2016,,Men,,,29.9
2016,,Women,,,3.4
2016,,,15-24,,9.4
2016,,,25-34,,22.1
2016,,,35-44,,21.8
2016,,,45-54,,13.5
2016,,,55-64,,13.2
2016,,,65-74,,8.6
2016,,,75+,,2.8
2016,,,,I,15.5
2016,,,,II,14.4
2016,,,,III,14.2
2016,,,,IV,15.2
2016,,,,V,16.4
2017,,,,,
2017,Urban,,,,
2017,Rural,,,,
2017,,Men,,,
2017,,Women,,,
2017,,,15-24,,
2017,,,25-34,,
2017,,,35-44,,
2017,,,45-54,,
2017,,,55-64,,
2017,,,65-74,,
2017,,,75+,,
2017,,,,I,
2017,,,,II,
2017,,,,III,
2017,,,,IV,
2017,,,,V,
2018,,,,,
2018,Urban,,,,
2018,Rural,,,,
2018,,Men,,,
2018,,Women,,,
2018,,,15-24,,
2018,,,25-34,,
2018,,,35-44,,
2018,,,45-54,,
2018,,,55-64,,
2018,,,65-74,,
2018,,,75+,,
2018,,,,I,
2018,,,,II,
2018,,,,III,
2018,,,,IV,
2018,,,,V,
