Year,Area of residence,Sex,Age group,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Men,,
2010,,Women,,
2010,,,15-24,
2010,,,25-64,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Men,,
2011,,Women,,
2011,,,15-24,
2011,,,25-64,
2012,,,,
2012,Urban,,,
2012,Rural,,,
2012,,Men,,
2012,,Women,,
2012,,,15-24,
2012,,,25-64,
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Men,,
2013,,Women,,
2013,,,15-24,
2013,,,25-64,
2014,,,,11.2
2014,Urban,,,11.7
2014,Rural,,,10.9
2014,,Men,,11.6
2014,,Women,,10.8
2014,,,15-24,57.8
2014,,,25-64,1.6
2015,,,,10.4
2015,Urban,,,10.3
2015,Rural,,,10.6
2015,,Men,,10.5
2015,,Women,,10.4
2015,,,15-24,57.1
2015,,,25-64,1.4
2016,,,,10.3
2016,Urban,,,10.1
2016,Rural,,,10.4
2016,,Men,,10.7
2016,,Women,,9.9
2016,,,15-24,59.0
2016,,,25-64,1.6
2017,,,,10.0
2017,Urban,,,10.4
2017,Rural,,,9.8
2017,,Men,,10.5
2017,,Women,,9.6
2017,,,15-24,61.3
2017,,,25-64,2.1
2018,,,,9.1
2018,Urban,,,10.3
2018,Rural,,,8.4
2018,,Men,,9.3
2018,,Women,,9.0
2018,,,15-24,59.6
2018,,,25-64,1.4
