Year,Sex,Forms of ownership,Value
2010,,,
2010,Women,,
2010,Men,,
2010,,Stat,
2010,,Nonstate,
2011,,,
2011,Women,,
2011,Men,,
2011,,Stat,
2011,,Nonstate,
2012,,,
2012,Women,,
2012,Men,,
2012,,Stat,
2012,,Nonstate,
2013,,,70.1
2013,Women,,70.1
2013,Men,,69.5
2013,,Stat,70.1
2013,,Nonstate,67.9
2014,,,80.5
2014,Women,,81.1
2014,Men,,62.4
2014,,Stat,80.5
2014,,Nonstate,94.4
2015,,,84.9
2015,Women,,85.4
2015,Men,,66.2
2015,,Stat,84.8
2015,,Nonstate,94.4
2016,,,90.7
2016,Women,,90.9
2016,Men,,82.4
2016,,Stat,90.7
2016,,Nonstate,73.2
2017,,,90.8
2017,Women,,91.1
2017,Men,,78.2
2017,,Stat,90.8
2017,,Nonstate,76.7
2018,,,89.6
2018,Women,,90.2
2018,Men,,66.0
2018,,Stat,89.6
2018,,Nonstate,88.3
