Year,By levels,Value
2010,,
2010,"Local public authorities, level I",
2010,"Local public authorities, level II",
2011,,27.7
2011,"Local public authorities, level I",28.7
2011,"Local public authorities, level II",17.8
2012,,
2012,"Local public authorities, level I",
2012,"Local public authorities, level II",
2013,,
2013,"Local public authorities, level I",
2013,"Local public authorities, level II",
2014,,
2014,"Local public authorities, level I",
2014,"Local public authorities, level II",
2015,,28.9
2015,"Local public authorities, level I",30.0
2015,"Local public authorities, level II",18.5
2016,,
2016,"Local public authorities, level I",
2016,"Local public authorities, level II",
2017,,
2017,"Local public authorities, level I",
2017,"Local public authorities, level II",
2018,,
2018,"Local public authorities, level I",
2018,"Local public authorities, level II",
