Year,Regions,Quintiles on consumption expenditures,Sex of the head of the household,Value
2010,,,,
2010,,,,
2010,,,,
2010,North,,,
2010,Center,,,
2010,South,,,
2010,Mun. Chișinău,,,
2010,,I,,
2010,,Ii,,
2010,,Iii,,
2010,,Iv,,
2010,,V,,
2010,,,Men,
2010,,,Women,
2011,,,,
2011,,,,
2011,,,,
2011,North,,,
2011,Center,,,
2011,South,,,
2011,Mun. Chișinău,,,
2011,,I,,
2011,,Ii,,
2011,,Iii,,
2011,,Iv,,
2011,,V,,
2011,,,Men,
2011,,,Women,
2012,,,,
2012,,,,
2012,,,,
2012,North,,,
2012,Center,,,
2012,South,,,
2012,Mun. Chișinău,,,
2012,,I,,
2012,,Ii,,
2012,,Iii,,
2012,,Iv,,
2012,,V,,
2012,,,Men,
2012,,,Women,
2013,,,,
2013,,,,
2013,,,,
2013,North,,,
2013,Center,,,
2013,South,,,
2013,Mun. Chișinău,,,
2013,,I,,
2013,,Ii,,
2013,,Iii,,
2013,,Iv,,
2013,,V,,
2013,,,Men,
2013,,,Women,
2014,,,,73.1
2014,,,,95.5
2014,,,,56.9
2014,North,,,52.4
2014,Center,,,66.9
2014,South,,,81.9
2014,Mun. Chișinău,,,98.1
2014,,I,,48.9
2014,,Ii,,65.9
2014,,Iii,,74.0
2014,,Iv,,85.1
2014,,V,,91.3
2014,,,Men,73.3
2014,,,Women,72.6
2015,,,,77.0
2015,,,,95.6
2015,,,,63.6
2015,North,,,57.0
2015,Center,,,70.1
2015,South,,,89.9
2015,Mun. Chișinău,,,98.8
2015,,I,,56.0
2015,,Ii,,71.3
2015,,Iii,,76.1
2015,,Iv,,87.7
2015,,V,,93.7
2015,,,Men,76.8
2015,,,Women,77.3
2016,,,,77.2
2016,,,,95.3
2016,,,,64.2
2016,North,,,57.2
2016,Center,,,71.2
2016,South,,,89.4
2016,Mun. Chișinău,,,98.7
2016,,I,,56.7
2016,,Ii,,71.4
2016,,Iii,,79.2
2016,,Iv,,85.5
2016,,V,,93.5
2016,,,Men,77.1
2016,,,Women,77.6
2017,,,,80.8
2017,,,,95.7
2017,,,,70.4
2017,North,,,61.0
2017,Center,,,80.2
2017,South,,,89.4
2017,Mun. Chișinău,,,98.0
2017,,I,,61.1
2017,,Ii,,75.5
2017,,Iii,,82.0
2017,,Iv,,89.7
2017,,V,,95.7
2017,,,Men,81.1
2017,,,Women,80.2
2018,,,,82.1
2018,,,,97.0
2018,,,,71.7
2018,North,,,62.7
2018,Center,,,81.5
2018,South,,,91.7
2018,Mun. Chișinău,,,97.9
2018,,I,,65.1
2018,,Ii,,78.7
2018,,Iii,,82.4
2018,,Iv,,88.9
2018,,V,,95.4
2018,,,Men,82.5
2018,,,Women,81.3
