Year,Area of residence,Regions,Quintiles on consumption expenditures,Sex of the head of the household,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,North,,,
2010,,Center,,,
2010,,South,,,
2010,,Municipiul chișinău,,,
2010,,,I,,
2010,,,Ii,,
2010,,,Iii,,
2010,,,Iv,,
2010,,,V,,
2010,,,,Men,
2010,,,,Women,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,North,,,
2011,,Center,,,
2011,,South,,,
2011,,Municipiul chișinău,,,
2011,,,I,,
2011,,,Ii,,
2011,,,Iii,,
2011,,,Iv,,
2011,,,V,,
2011,,,,Men,
2011,,,,Women,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,North,,,
2012,,Center,,,
2012,,South,,,
2012,,Municipiul chișinău,,,
2012,,,I,,
2012,,,Ii,,
2012,,,Iii,,
2012,,,Iv,,
2012,,,V,,
2012,,,,Men,
2012,,,,Women,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,North,,,
2013,,Center,,,
2013,,South,,,
2013,,Municipiul chișinău,,,
2013,,,I,,
2013,,,Ii,,
2013,,,Iii,,
2013,,,Iv,,
2013,,,V,,
2013,,,,Men,
2013,,,,Women,
2014,,,,,38.7
2014,Urban,,,,76.5
2014,Rural,,,,11.5
2014,,North,,,22.9
2014,,Center,,,21.9
2014,,South,,,25.7
2014,,Municipiul chișinău,,,88.7
2014,,,I,,12.2
2014,,,Ii,,25.3
2014,,,Iii,,35.8
2014,,,Iv,,51.9
2014,,,V,,68.3
2014,,,,Men,36.9
2014,,,,Women,42.3
2015,,,,,40.7
2015,Urban,,,,79.5
2015,Rural,,,,12.9
2015,,North,,,26.3
2015,,Center,,,25.3
2015,,South,,,26.2
2015,,Municipiul chișinău,,,88.6
2015,,,I,,10.1
2015,,,Ii,,27.6
2015,,,Iii,,38.0
2015,,,Iv,,55.0
2015,,,V,,73.0
2015,,,,Men,39.8
2015,,,,Women,42.8
2016,,,,,42.8
2016,Urban,,,,79.9
2016,Rural,,,,16.1
2016,,North,,,26.4
2016,,Center,,,28.2
2016,,South,,,28.3
2016,,Municipiul chișinău,,,91.7
2016,,,I,,11.8
2016,,,Ii,,29.2
2016,,,Iii,,41.3
2016,,,Iv,,56.6
2016,,,V,,75.0
2016,,,,Men,41.7
2016,,,,Women,44.8
2017,,,,,45.0
2017,Urban,,,,82.7
2017,Rural,,,,18.6
2017,,North,,,30.0
2017,,Center,,,31.9
2017,,South,,,29.6
2017,,Municipiul chișinău,,,91.1
2017,,,I,,15.9
2017,,,Ii,,29.0
2017,,,Iii,,43.9
2017,,,Iv,,59.8
2017,,,V,,76.1
2017,,,,Men,43.4
2017,,,,Women,47.9
2018,,,,,46.7
2018,Urban,,,,83.8
2018,Rural,,,,20.8
2018,,North,,,30.9
2018,,Center,,,33.9
2018,,South,,,33.9
2018,,Municipiul chișinău,,,91.6
2018,,,I,,17.4
2018,,,Ii,,32.0
2018,,,Iii,,46.5
2018,,,Iv,,59.9
2018,,,V,,77.7
2018,,,,Men,45.7
2018,,,,Women,48.6
