Year,Bio-fuel and waste,Petrol products,Coal,Natural gas,Thermal energy,Electricity,Value
2010,Space heating,,,,,,
2010,Cooling spaces,,,,,,
2010,Water heating,,,,,,
2010,Food preparation,,,,,,
2010,,Space heating,,,,,
2010,,Cooling spaces,,,,,
2010,,Water heating,,,,,
2010,,Food preparation,,,,,
2010,,,Space heating,,,,
2010,,,Cooling spaces,,,,
2010,,,Water heating,,,,
2010,,,Food preparation,,,,
2010,,,,Space heating,,,
2010,,,,Cooling spaces,,,
2010,,,,Water heating,,,
2010,,,,Food preparation,,,
2010,,,,,Space heating,,
2010,,,,,Cooling spaces,,
2010,,,,,Water heating,,
2010,,,,,Food preparation,,
2010,,,,,,Space heating,
2010,,,,,,Cooling spaces,
2010,,,,,,Water heating,
2010,,,,,,Food preparation,
2010,,,,,,Lighting and use of electrical appliances,
2011,Space heating,,,,,,
2011,Cooling spaces,,,,,,
2011,Water heating,,,,,,
2011,Food preparation,,,,,,
2011,,Space heating,,,,,
2011,,Cooling spaces,,,,,
2011,,Water heating,,,,,
2011,,Food preparation,,,,,
2011,,,Space heating,,,,
2011,,,Cooling spaces,,,,
2011,,,Water heating,,,,
2011,,,Food preparation,,,,
2011,,,,Space heating,,,
2011,,,,Cooling spaces,,,
2011,,,,Water heating,,,
2011,,,,Food preparation,,,
2011,,,,,Space heating,,
2011,,,,,Cooling spaces,,
2011,,,,,Water heating,,
2011,,,,,Food preparation,,
2011,,,,,,Space heating,
2011,,,,,,Cooling spaces,
2011,,,,,,Water heating,
2011,,,,,,Food preparation,
2011,,,,,,Lighting and use of electrical appliances,
2012,Space heating,,,,,,
2012,Cooling spaces,,,,,,
2012,Water heating,,,,,,
2012,Food preparation,,,,,,
2012,,Space heating,,,,,
2012,,Cooling spaces,,,,,
2012,,Water heating,,,,,
2012,,Food preparation,,,,,
2012,,,Space heating,,,,
2012,,,Cooling spaces,,,,
2012,,,Water heating,,,,
2012,,,Food preparation,,,,
2012,,,,Space heating,,,
2012,,,,Cooling spaces,,,
2012,,,,Water heating,,,
2012,,,,Food preparation,,,
2012,,,,,Space heating,,
2012,,,,,Cooling spaces,,
2012,,,,,Water heating,,
2012,,,,,Food preparation,,
2012,,,,,,Space heating,
2012,,,,,,Cooling spaces,
2012,,,,,,Water heating,
2012,,,,,,Food preparation,
2012,,,,,,Lighting and use of electrical appliances,
2013,Space heating,,,,,,
2013,Cooling spaces,,,,,,
2013,Water heating,,,,,,
2013,Food preparation,,,,,,
2013,,Space heating,,,,,
2013,,Cooling spaces,,,,,
2013,,Water heating,,,,,
2013,,Food preparation,,,,,
2013,,,Space heating,,,,
2013,,,Cooling spaces,,,,
2013,,,Water heating,,,,
2013,,,Food preparation,,,,
2013,,,,Space heating,,,
2013,,,,Cooling spaces,,,
2013,,,,Water heating,,,
2013,,,,Food preparation,,,
2013,,,,,Space heating,,
2013,,,,,Cooling spaces,,
2013,,,,,Water heating,,
2013,,,,,Food preparation,,
2013,,,,,,Space heating,
2013,,,,,,Cooling spaces,
2013,,,,,,Water heating,
2013,,,,,,Food preparation,
2013,,,,,,Lighting and use of electrical appliances,
2014,Space heating,,,,,,
2014,Cooling spaces,,,,,,
2014,Water heating,,,,,,
2014,Food preparation,,,,,,
2014,,Space heating,,,,,
2014,,Cooling spaces,,,,,
2014,,Water heating,,,,,
2014,,Food preparation,,,,,
2014,,,Space heating,,,,
2014,,,Cooling spaces,,,,
2014,,,Water heating,,,,
2014,,,Food preparation,,,,
2014,,,,Space heating,,,
2014,,,,Cooling spaces,,,
2014,,,,Water heating,,,
2014,,,,Food preparation,,,
2014,,,,,Space heating,,
2014,,,,,Cooling spaces,,
2014,,,,,Water heating,,
2014,,,,,Food preparation,,
2014,,,,,,Space heating,
2014,,,,,,Cooling spaces,
2014,,,,,,Water heating,
2014,,,,,,Food preparation,
2014,,,,,,Lighting and use of electrical appliances,
2015,Space heating,,,,,,89.8
2015,Cooling spaces,,,,,,0.0
2015,Water heating,,,,,,8.4
2015,Food preparation,,,,,,1.7
2015,,Space heating,,,,,0.0
2015,,Cooling spaces,,,,,0.0
2015,,Water heating,,,,,26.1
2015,,Food preparation,,,,,73.9
2015,,,Space heating,,,,83.8
2015,,,Cooling spaces,,,,0.0
2015,,,Water heating,,,,16.0
