Year,Regions,Value
2010,,
2010,Mun. Chișinău,
2010,North,
2010,Center,
2010,South,
2010,ATU Gagauzia,
2011,,105.9
2011,Mun. Chișinău,
2011,North,
2011,Center,
2011,South,
2011,ATU Gagauzia,
2012,,99.4
2012,Mun. Chișinău,
2012,North,
2012,Center,
2012,South,
2012,ATU Gagauzia,
2013,,109.1
2013,Mun. Chișinău,
2013,North,
2013,Center,
2013,South,
2013,ATU Gagauzia,
2014,,105.1
2014,Mun. Chișinău,105.5
2014,North,105.2
2014,Center,104.7
2014,South,100.7
2014,ATU Gagauzia,101.3
2015,,99.7
2015,Mun. Chișinău,101.7
2015,North,96.7
2015,Center,99.3
2015,South,92.2
2015,ATU Gagauzia,93.4
2016,,104.5
2016,Mun. Chișinău,102.4
2016,North,106.4
2016,Center,107.2
2016,South,105.9
2016,ATU Gagauzia,103.5
2017,,104.8
2017,Mun. Chișinău,104.8
2017,North,104.4
2017,Center,103.9
2017,South,103.0
2017,ATU Gagauzia,102.8
2018,,104.4
2018,Mun. Chișinău,
2018,North,
2018,Center,
2018,South,
2018,ATU Gagauzia,
