Year,Types of accounts,Value
2010,,
2010,"Of deposits, including current",
2010,To borrow,
2011,,
2011,"Of deposits, including current",
2011,To borrow,
2012,,
2012,"Of deposits, including current",
2012,To borrow,
2013,,
2013,"Of deposits, including current",
2013,To borrow,
2014,,215339.0
2014,"Of deposits, including current",208404.0
2014,To borrow,6936.0
2015,,147331.0
2015,"Of deposits, including current",140369.0
2015,To borrow,6962.0
2016,,169738.0
2016,"Of deposits, including current",159721.0
2016,To borrow,10017.0
2017,,168390.0
2017,"Of deposits, including current",159176.0
2017,To borrow,9214.0
2018,,197616.0
2018,"Of deposits, including current",186500.0
2018,To borrow,11115.0
