Year,Sex,Age group,Studiies,Incomes,Area,Value
2010,,,,,,
2010,Men,,,,,
2010,Women,,,,,
2010,,15-24,,,,
2010,,25+,,,,
2010,,,Primary and below,,,
2010,,,Secondary and above,,,
2010,,,,"Poors, 40%",,
2010,,,,"Wealthy, 60%",,
2010,,,,,Rural,
2011,,,,,,18.0
2011,Men,,,,,19.0
2011,Women,,,,,17.0
2011,,15-24,,,,17.0
2011,,25+,,,,18.0
2011,,,Primary and below,,,4.0
2011,,,Secondary and above,,,22.0
2011,,,,"Poors, 40%",,10.0
2011,,,,"Wealthy, 60%",,24.0
2011,,,,,Rural,15.0
2012,,,,,,
2012,Men,,,,,
2012,Women,,,,,
2012,,15-24,,,,
2012,,25+,,,,
2012,,,Primary and below,,,
2012,,,Secondary and above,,,
2012,,,,"Poors, 40%",,
2012,,,,"Wealthy, 60%",,
2012,,,,,Rural,
2013,,,,,,
2013,Men,,,,,
2013,Women,,,,,
2013,,15-24,,,,
2013,,25+,,,,
2013,,,Primary and below,,,
2013,,,Secondary and above,,,
2013,,,,"Poors, 40%",,
2013,,,,"Wealthy, 60%",,
2013,,,,,Rural,
2014,,,,,,18.0
2014,Men,,,,,16.0
2014,Women,,,,,19.0
2014,,15-24,,,,12.0
2014,,25+,,,,19.0
2014,,,Primary and below,,,2.0
2014,,,Secondary and above,,,22.0
2014,,,,"Poors, 40%",,11.0
2014,,,,"Wealthy, 60%",,22.0
2014,,,,,Rural,15.0
2015,,,,,,
2015,Men,,,,,
2015,Women,,,,,
2015,,15-24,,,,
2015,,25+,,,,
2015,,,Primary and below,,,
2015,,,Secondary and above,,,
2015,,,,"Poors, 40%",,
2015,,,,"Wealthy, 60%",,
2015,,,,,Rural,
2016,,,,,,
2016,Men,,,,,
2016,Women,,,,,
2016,,15-24,,,,
2016,,25+,,,,
2016,,,Primary and below,,,
2016,,,Secondary and above,,,
2016,,,,"Poors, 40%",,
2016,,,,"Wealthy, 60%",,
2016,,,,,Rural,
2017,,,,,,44.0
2017,Men,,,,,43.0
2017,Women,,,,,45.0
2017,,15-24,,,,39.0
2017,,25+,,,,45.0
2017,,,Primary and below,,,22.0
2017,,,Secondary and above,,,48.0
2017,,,,"Poors, 40%",,32.0
2017,,,,"Wealthy, 60%",,52.0
2017,,,,,Rural,42.0
2018,,,,,,
2018,Men,,,,,
2018,Women,,,,,
2018,,15-24,,,,
2018,,25+,,,,
2018,,,Primary and below,,,
2018,,,Secondary and above,,,
2018,,,,"Poors, 40%",,
2018,,,,"Wealthy, 60%",,
2018,,,,,Rural,
