Year,Type,Value
2010,Commitments,394.75205
2010,Disbursement,69.20586999999999
2011,Commitments,110.83588
2011,Disbursement,118.25568999999999
2012,Commitments,276.15932000000004
2012,Disbursement,177.47347
2013,Commitments,120.65791000000002
2013,Disbursement,154.3891
2014,Commitments,332.76286
2014,Disbursement,221.21501
2015,Commitments,77.51654
2015,Disbursement,165.58661
2016,Commitments,281.93978
2016,Disbursement,122.51212
2017,Commitments,106.13866999999999
2017,Disbursement,83.99388
2018,Commitments,
2018,Disbursement,
