Year,1st quintile by area of residence,Total by area of residence,Value
2010,"Total, 1st quintile",,
2010,"Urban, 1st quintile",,
2010,"Rural, 1st quintile",,
2010,,Total,
2010,,Urban,
2010,,Rural,
2011,"Total, 1st quintile",,
2011,"Urban, 1st quintile",,
2011,"Rural, 1st quintile",,
2011,,Total,
2011,,Urban,
2011,,Rural,
2012,"Total, 1st quintile",,
2012,"Urban, 1st quintile",,
2012,"Rural, 1st quintile",,
2012,,Total,
2012,,Urban,
2012,,Rural,
2013,"Total, 1st quintile",,
2013,"Urban, 1st quintile",,
2013,"Rural, 1st quintile",,
2013,,Total,
2013,,Urban,
2013,,Rural,
2014,"Total, 1st quintile",,6
2014,"Urban, 1st quintile",,2.8
2014,"Rural, 1st quintile",,8.3
2014,,Total,12
2014,,Urban,10.7
2014,,Rural,12.3
2015,"Total, 1st quintile",,9.3
2015,"Urban, 1st quintile",,3.2
2015,"Rural, 1st quintile",,13.6
2015,,Total,18.2
2015,,Urban,14
2015,,Rural,18.8
2016,"Total, 1st quintile",,12.5
2016,"Urban, 1st quintile",,4.7
2016,"Rural, 1st quintile",,18.2
2016,,Total,23.4
2016,,Urban,21.5
2016,,Rural,23.7
2017,"Total, 1st quintile",,13.2
2017,"Urban, 1st quintile",,4.7
2017,"Rural, 1st quintile",,19.3
2017,,Total,26.5
2017,,Urban,16.7
2017,,Rural,27.9
2018,"Total, 1st quintile",,12.8
2018,"Urban, 1st quintile",,4.7
2018,"Rural, 1st quintile",,18.5
2018,,Total,27
2018,,Urban,17.9
2018,,Rural,28.6
