Year,Sex,Age group,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,<=50,
2010,,50-54,
2010,,55-59,
2010,,60-64,
2010,,65+,
2010,,,
2010,,,
2011,,,
2011,Men,,
2011,Women,,
2011,,<=50,
2011,,50-54,
2011,,55-59,
2011,,60-64,
2011,,65+,
2011,,,
2011,,,
2012,,,
2012,Men,,
2012,Women,,
2012,,<=50,
2012,,50-54,
2012,,55-59,
2012,,60-64,
2012,,65+,
2012,,,
2012,,,
2013,,,
2013,Men,,
2013,Women,,
2013,,<=50,
2013,,50-54,
2013,,55-59,
2013,,60-64,
2013,,65+,
2013,,,
2013,,,
2014,,,93.8
2014,Men,,88.7
2014,Women,,96.1
2014,,<=50,0.0
2014,,50-54,0.2
2014,,55-59,29.7
2014,,60-64,73.2
2014,,65+,96.0
2014,,,
2014,,,
2015,,,94.1
2015,Men,,88.7
2015,Women,,96.6
2015,,<=50,0.0
2015,,50-54,0.2
2015,,55-59,30.1
2015,,60-64,73.6
2015,,65+,95.5
2015,,,
2015,,,
2016,,,94.5
2016,Men,,89
2016,Women,,97.1
2016,,<=50,0.0
2016,,50-54,0.2
2016,,55-59,31.1
2016,,60-64,74.0
2016,,65+,95.5
2016,,,
2016,,,
2017,,,92.9
2017,Men,,86.7
2017,Women,,95.7
2017,,<=50,0.0
2017,,50-54,0.2
2017,,55-59,28.1
2017,,60-64,73.4
2017,,65+,95.2
2017,,,
2017,,,
2018,,,96.4
2018,Men,,91.8
2018,Women,,98.5
2018,,<=50,0.0
2018,,50-54,0.0
2018,,55-59,23.4
2018,,60-64,70.6
2018,,65+,93.6
2018,,,
2018,,,
