Year,Value
2010,16
2010,29.62
2010,29.18
2010,13.33
2010,0.47
2010,50
2010,5.06
2011,15.86
2011,30.23
2011,25.96
2011,10.66
2011,1.96
2011,51.55
2011,4.83
2012,12.01
2012,23.96
2012,22.72
2012,14.5
2012,0.81
2012,86.44
2012,2.6
2013,10.51
2013,22.69
2013,16.6
2013,11.58
2013,1.55
2013,76.8
2013,3.63
2014,10.84
2014,13.41
2014,12.96
2014,11.73
2014,0.87
2014,42.27
2014,36.03
2015,13.1
2015,25.39
2015,14.38
2015,9.95
2015,1.72
2015,92.47
2015,
2016,12.83
2016,28.68
2016,15.31
2016,16.41
2016,1.91
2016,104.89
2016,
2017,12.71
2017,29.84
2017,14.53
2017,18.38
2017,1.94
2017,179.52
2017,
2018,12.89
2018,26.26
2018,10.15
2018,12.49
2018,2.01
2018,180.72
2018,
