Year,Area of residence,Sex,Age group,Quintiles on consumption expenditures,Existence of disability,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Men,,,,
2010,,Women,,,,
2010,,,0-17,,,
2010,,,18-29,,,
2010,,,30-39,,,
2010,,,40-49,,,
2010,,,50-59,,,
2010,,,60+,,,
2010,,,,I,,
2010,,,,Ii,,
2010,,,,Iii,,
2010,,,,Iv,,
2010,,,,V,,
2010,,,,,People with disability,
2010,,,,,People without disability,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Men,,,,
2011,,Women,,,,
2011,,,0-17,,,
2011,,,18-29,,,
2011,,,30-39,,,
2011,,,40-49,,,
2011,,,50-59,,,
2011,,,60+,,,
2011,,,,I,,
2011,,,,Ii,,
2011,,,,Iii,,
2011,,,,Iv,,
2011,,,,V,,
2011,,,,,People with disability,
2011,,,,,People without disability,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Men,,,,
2012,,Women,,,,
2012,,,0-17,,,
2012,,,18-29,,,
2012,,,30-39,,,
2012,,,40-49,,,
2012,,,50-59,,,
2012,,,60+,,,
2012,,,,I,,
2012,,,,Ii,,
2012,,,,Iii,,
2012,,,,Iv,,
2012,,,,V,,
2012,,,,,People with disability,
2012,,,,,People without disability,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Men,,,,
2013,,Women,,,,
2013,,,0-17,,,
2013,,,18-29,,,
2013,,,30-39,,,
2013,,,40-49,,,
2013,,,50-59,,,
2013,,,60+,,,
2013,,,,I,,
2013,,,,Ii,,
2013,,,,Iii,,
2013,,,,Iv,,
2013,,,,V,,
2013,,,,,People with disability,
2013,,,,,People without disability,
2014,,,,,,8.6
2014,Urban,,,,,12.7
2014,Rural,,,,,5.6
2014,,Men,,,,8.8
2014,,Women,,,,8.4
2014,,,0-17,,,16.5
2014,,,18-29,,,11
2014,,,30-39,,,12.1
2014,,,40-49,,,6
2014,,,50-59,,,3.1
2014,,,60+,,,1.8
2014,,,,I,,17.4
2014,,,,Ii,,7
2014,,,,Iii,,6.9
2014,,,,Iv,,5.6
2014,,,,V,,6.1
2014,,,,,People with disability,4.4
2014,,,,,People without disability,8.9
2015,,,,,,5.6
2015,Urban,,,,,9.2
2015,Rural,,,,,3
2015,,Men,,,,5.6
2015,,Women,,,,5.6
2015,,,0-17,,,11.4
2015,,,18-29,,,5.8
2015,,,30-39,,,9
2015,,,40-49,,,3.9
2015,,,50-59,,,1.9
2015,,,60+,,,0.9
2015,,,,I,,8.7
2015,,,,Ii,,7.3
2015,,,,Iii,,5.2
2015,,,,Iv,,3.8
2015,,,,V,,2.9
2015,,,,,People with disability,2.3
2015,,,,,People without disability,5.8
2016,,,,,,6.1
2016,Urban,,,,,8.4
2016,Rural,,,,,4.4
2016,,Men,,,,6.7
2016,,Women,,,,5.6
2016,,,0-17,,,13.2
2016,,,18-29,,,7.1
2016,,,30-39,,,9.3
2016,,,40-49,,,4.3
2016,,,50-59,,,1.5
2016,,,60+,,,0.7
2016,,,,I,,10.9
2016,,,,Ii,,5.5
2016,,,,Iii,,4.6
2016,,,,Iv,,5.4
2016,,,,V,,4.2
2016,,,,,People with disability,2.6
2016,,,,,People without disability,6.4
2017,,,,,,6.4
2017,Urban,,,,,10
2017,Rural,,,,,3.9
2017,,Men,,,,6.6
2017,,Women,,,,6.2
2017,,,0-17,,,12.7
2017,,,18-29,,,7.7
2017,,,30-39,,,10.4
2017,,,40-49,,,4.8
2017,,,50-59,,,1.6
2017,,,60+,,,1.3
2017,,,,I,,9.5
2017,,,,Ii,,4.5
2017,,,,Iii,,6.1
2017,,,,Iv,,9.3
2017,,,,V,,2.6
2017,,,,,People with disability,3.3
2017,,,,,People without disability,6.7
2018,,,,,,6.5
2018,Urban,,,,,10.5
2018,Rural,,,,,3.7
2018,,Men,,,,6.8
2018,,Women,,,,6.2
2018,,,0-17,,,12.9
2018,,,18-29,,,10.7
2018,,,30-39,,,9.9
2018,,,40-49,,,4.2
2018,,,50-59,,,1.8
2018,,,60+,,,0.7
2018,,,,I,,11.2
2018,,,,Ii,,6.3
2018,,,,Iii,,6.1
2018,,,,Iv,,5.7
2018,,,,V,,3.3
2018,,,,,People with disability,3.6
2018,,,,,People without disability,6.7
