Year,Total,Sources,Ingredients,Value
2010,Total,,,154.8
2010,,auto,,146.5
2010,,railway,,1.6
2010,,air,,6.7
2010,,,carbon monoxide,109.2
2010,,,nitrogen dioxide,15.8
2010,,,sulphur dioxide,3.9
2010,,,hydrocarbs,15.0
2010,,,aldehydes,8.3
2010,,,solids,2.6
2011,Total,,,188.7
2011,,auto,,174.8
2011,,railway,,4.0
2011,,air,,9.9
2011,,,carbon monoxide,134.7
2011,,,nitrogen dioxide,18.4
2011,,,sulphur dioxide,4.5
2011,,,hydrocarbs,21.0
2011,,,aldehydes,7.4
2011,,,solids,2.7
2012,Total,,,154.2
2012,,auto,,140.1
2012,,railway,,2.7
2012,,air,,11.4
2012,,,carbon monoxide,118.3
2012,,,nitrogen dioxide,14.3
2012,,,sulphur dioxide,3.3
2012,,,hydrocarbs,15.1
2012,,,aldehydes,1.0
2012,,,solids,2.0
2013,Total,,,226.6
2013,,auto,,213.1
2013,,railway,,2.8
2013,,air,,10.7
2013,,,carbon monoxide,165.1
2013,,,nitrogen dioxide,24.9
2013,,,sulphur dioxide,6.7
2013,,,hydrocarbs,24.2
2013,,,aldehydes,1.7
2013,,,solids,4.0
2014,Total,,,194.3
2014,,auto,,179.0
2014,,railway,,2.7
2014,,air,,12.6
2014,,,carbon monoxide,149.2
2014,,,nitrogen dioxide,16.0
2014,,,sulphur dioxide,3.5
2014,,,hydrocarbs,22.4
2014,,,aldehydes,1.0
2014,,,solids,2.2
2015,Total,,,194.3
2015,,auto,,178.9
2015,,railway,,2.7
2015,,air,,12.6
2015,,,carbon monoxide,149.2
2015,,,nitrogen dioxide,16.0
2015,,,sulphur dioxide,3.5
2015,,,hydrocarbs,22.4
2015,,,aldehydes,1.0
2015,,,solids,2.2
2016,Total,,,201.5
2016,,auto,,166.0
2016,,railway,,2.9
2016,,air,,32.6
2016,,,carbon monoxide,144.8
2016,,,nitrogen dioxide,19.8
2016,,,sulphur dioxide,5.1
2016,,,hydrocarbs,21.6
2016,,,aldehydes,7.0
2016,,,solids,3.2
2017,Total,,,322.3
2017,,auto,,296.0
2017,,railway,,2.4
2017,,air,,23.9
2017,,,carbon monoxide,247.1
2017,,,nitrogen dioxide,29.9
2017,,,sulphur dioxide,7.0
2017,,,hydrocarbs,31.9
2017,,,aldehydes,2.0
2017,,,solids,4.4
2018,Total,,,227.9
2018,,auto,,198.1
2018,,railway,,2.0
2018,,air,,"27.8,4"
2018,,,carbon monoxide,167.1
2018,,,nitrogen dioxide,25.0
2018,,,sulphur dioxide,6.6
2018,,,hydrocarbs,23.3
2018,,,aldehydes,1.8
2018,,,solids,4.1
