Year,Value
2010,3.11995
2010,0.04529
2010,1.77744
2010,0.87801
2010,0.02607
2010,0.70639
2010,0.48384
2010,0.11413
2010,0.02607
2010,0.02607
2010,0.54148
2010,2.09172
2010,2.58371
2010,0.17726
2010,6.43612
2010,0.00707
2010,0.11315
2011,3.10409
2011,0.05077
2011,1.81873
2011,1.11009
2011,0.01953
2011,0.72041
2011,0.47319
2011,0.06705
2011,0.01953
2011,0.01953
2011,0.64352
2011,2.14014
2011,2.70769
2011,0.19645
2011,6.55172
2011,0.00648
2011,0.10983
2012,1.83578
2012,0.04541
2012,0.90857
2012,1.10298
2012,0.03688
2012,0.6971
2012,0.47053
2012,0.05587
2012,0.03828
2012,0.03688
2012,0.77126
2012,1.45943
2012,2.15495
2012,0.18116
2012,4.72612
2012,0.00697
2012,0.13481
2013,3.41049
2013,0.06361
2013,1.91915
2013,0.72987
2013,0.0199
2013,0.61672
2013,0.36475
2013,0.05302
2013,0.0199
2013,0.0199
2013,0.88948
2013,1.51444
2013,2.33112
2013,0.18836
2013,6.37822
2013,0.00765
2013,0.27466
2014,3.82381
2014,0.03636
2014,2.1494
2014,1.15659
2014,0.05128
2014,0.65764
2014,0.43184
2014,0.05284
2014,0.05128
2014,0.05128
2014,0.88246
2014,1.61003
2014,2.42509
2014,0.18944
2014,6.95782
2014,0.00765
2014,0.28823
2015,3.83255
2015,0.04501
2015,2.16077
2015,1.32698
2015,0.05296
2015,0.68768
2015,0.44772
2015,0.05454
2015,0.05296
2015,0.05296
2015,0.97424
2015,1.72224
2015,2.63078
2015,0.19496
2015,7.20397
2015,0.0079
2015,0.28851
2016,3.85782
2016,0.04527
2016,2.17346
2016,1.32291
2016,0.05467
2016,0.69088
2016,0.44494
2016,0.05627
2016,0.05467
2016,0.05467
2016,1.06682
2016,1.83576
2016,2.83853
2016,0.20067
2016,7.44189
2016,0.00816
2016,0.30295
2017,3.8851
2017,0.04556
2017,2.18728
2017,1.31376
2017,0.05642
2017,0.69442
2017,0.44237
2017,0.05803
2017,
2017,0.05642
2017,1.16023
2017,1.95061
2017,3.04842
2017,0.2065
2017,7.68436
2017,0.00842
2017,0.3176
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
