Year,Value
2010,2.19274
2010,0.03183
2010,1.24921
2010,0.61708
2010,0.01832
2010,0.49646
2010,0.34005
2010,0.08021
2010,0.01832
2010,0.01832
2010,0.38056
2010,1.47009
2010,1.81586
2010,0.12458
2010,4.52338
2010,0.00497
2010,0.07952
2011,2.03884
2011,0.03335
2011,1.19458
2011,0.72913
2011,0.01283
2011,0.47318
2011,0.3108
2011,0.04404
2011,0.01283
2011,0.01283
2011,0.42268
2011,1.40569
2011,1.77847
2011,0.12903
2011,4.30331
2011,0.00426
2011,0.07214
2012,1.2136
2012,0.03002
2012,0.60064
2012,0.72916
2012,0.02438
2012,0.46084
2012,0.31106
2012,0.03694
2012,0.0253
2012,0.02438
2012,0.50986
2012,0.9648
2012,1.4246
2012,0.11976
2012,3.12434
2012,0.00461
2012,0.08912
2013,2.06
2013,0.03842
2013,1.1592
2013,0.44085
2013,0.01202
2013,0.37251
2013,0.22032
2013,0.03202
2013,0.01202
2013,0.01202
2013,0.53726
2013,0.91475
2013,1.40804
2013,0.11377
2013,3.85257
2013,0.00462
2013,0.1659
2014,2.20292
2014,0.02095
2014,1.23828
2014,0.66632
2014,0.02954
2014,0.37887
2014,0.24879
2014,0.03044
2014,0.02954
2014,0.02954
2014,0.50839
2014,0.92755
2014,1.39712
2014,0.10914
2014,4.00846
2014,0.00441
2014,0.16605
2015,2.2153
2015,0.02602
2015,1.24897
2015,0.76702
2015,0.03061
2015,0.3975
2015,0.25879
2015,0.03152
2015,0.03061
2015,0.03061
2015,0.56313
2015,0.99549
2015,1.52065
2015,0.11269
2015,4.16406
2015,0.00457
2015,0.16677
2016,2.13114
2016,0.02501
2016,1.20067
2016,0.7308
2016,0.0302
2016,0.38166
2016,0.24579
2016,0.03108
2016,0.0302
2016,0.0302
2016,0.58933
2016,1.01411
2016,1.56807
2016,0.11085
2016,4.11107
2016,0.00451
2016,0.16736
2017,2.04905
2017,0.02403
2017,1.1536
2017,0.6929
2017,0.029760000000000002
2017,0.36625
2017,0.23331
2017,0.03061
2017,
2017,0.029760000000000002
2017,0.61192
2017,1.02878
2017,1.60778
2017,0.10891
2017,4.05284
2017,0.00444
2017,0.16751
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
