Year,Clase se,Sex,Age group,Value
2010,,,,
2010,Technogenic,,,
2010,Natural (by genre),,,
2010,Social and biological,,,
2010,Fires,,,
2010,,Men,,
2010,,Women,,
2010,,,0-17 years,
2010,,,18 years and over,
2011,,,,
2011,Technogenic,,,
2011,Natural (by genre),,,
2011,Social and biological,,,
2011,Fires,,,
2011,,Men,,
2011,,Women,,
2011,,,0-17 years,
2011,,,18 years and over,
2012,,,,
2012,Technogenic,,,
2012,Natural (by genre),,,
2012,Social and biological,,,
2012,Fires,,,
2012,,Men,,
2012,,Women,,
2012,,,0-17 years,
2012,,,18 years and over,
2013,,,,
2013,Technogenic,,,
2013,Natural (by genre),,,
2013,Social and biological,,,
2013,Fires,,,
2013,,Men,,
2013,,Women,,
2013,,,0-17 years,
2013,,,18 years and over,
2014,,,,4.41
2014,Technogenic,,,0.28
2014,Natural (by genre),,,0
2014,Social and biological,,,0
2014,Fires,,,4.13
2014,,Men,,
2014,,Women,,
2014,,,0-17 years,0.32
2014,,,18 years and over,5.54
2015,,,,4.13
2015,Technogenic,,,0.32
2015,Natural (by genre),,,0
2015,Social and biological,,,0.11
2015,Fires,,,3.7
2015,,Men,,
2015,,Women,,
2015,,,0-17 years,0.66
2015,,,18 years and over,5.08
2016,,,,4.39
2016,Technogenic,,,0.29
2016,Natural (by genre),,,0
2016,Social and biological,,,0.14
2016,Fires,,,3.96
2016,,Men,,
2016,,Women,,
2016,,,0-17 years,1.66
2016,,,18 years and over,5.14
2017,,,,3.09
2017,Technogenic,,,0.11
2017,Natural (by genre),,,0
2017,Social and biological,,,0.11
2017,Fires,,,2.87
2017,,Men,,
2017,,Women,,
2017,,,0-17 years,1.33
2017,,,18 years and over,3.57
2018,,,,4.99
2018,Technogenic,,,0.44
2018,Natural (by genre),,,0
2018,Social and biological,,,0.11
2018,Fires,,,4.43
2018,,Men,,
2018,,Women,,
2018,,,0-17 years,1.85
2018,,,18 years and over,5.87
