Year,Units,Indicators,Value
2010,"Percent, %",Annual net rate of change of forest area,0
2010,"Percent, %",Proportion of forest area located in legally protected areas,33.9
2010,"Percent, %",Proportion of forest area managed in accordance with long-term sustainable forest management plans,89.9
2011,"Percent, %",Annual net rate of change of forest area,0
2011,"Percent, %",Proportion of forest area located in legally protected areas,33.9
2011,"Percent, %",Proportion of forest area managed in accordance with long-term sustainable forest management plans,89.9
2012,"Percent, %",Annual net rate of change of forest area,0
2012,"Percent, %",Proportion of forest area located in legally protected areas,33.9
2012,"Percent, %",Proportion of forest area managed in accordance with long-term sustainable forest management plans,89.9
2013,"Percent, %",Annual net rate of change of forest area,0.7
2013,"Percent, %",Proportion of forest area located in legally protected areas,33.8
2013,"Percent, %",Proportion of forest area managed in accordance with long-term sustainable forest management plans,89.9
2014,"Percent, %",Annual net rate of change of forest area,0
2014,"Percent, %",Proportion of forest area located in legally protected areas,40.8
2014,"Percent, %",Proportion of forest area managed in accordance with long-term sustainable forest management plans,90
2015,"Percent, %",Annual net rate of change of forest area,0
2015,"Percent, %",Proportion of forest area located in legally protected areas,40.8
2015,"Percent, %",Proportion of forest area managed in accordance with long-term sustainable forest management plans,90
2016,"Percent, %",Annual net rate of change of forest area,0
2016,"Percent, %",Proportion of forest area located in legally protected areas,40.8
2016,"Percent, %",Proportion of forest area managed in accordance with long-term sustainable forest management plans,90
2017,"Percent, %",Annual net rate of change of forest area,0
2017,"Percent, %",Proportion of forest area located in legally protected areas,40.8
2017,"Percent, %",Proportion of forest area managed in accordance with long-term sustainable forest management plans,90.9
2018,"Percent, %",Annual net rate of change of forest area,0
2018,"Percent, %",Proportion of forest area located in legally protected areas,40.8
2018,"Percent, %",Proportion of forest area managed in accordance with long-term sustainable forest management plans,90.9
2010,Thousand cubic metres,"Above-ground biomass reserves in forests, thousands m.c.",46.5
2011,Thousand cubic metres,"Above-ground biomass reserves in forests, thousands m.c.",46.6
2012,Thousand cubic metres,"Above-ground biomass reserves in forests, thousands m.c.",47.1
2013,Thousand cubic metres,"Above-ground biomass reserves in forests, thousands m.c.",47.9
2014,Thousand cubic metres,"Above-ground biomass reserves in forests, thousands m.c.",49
2015,Thousand cubic metres,"Above-ground biomass reserves in forests, thousands m.c.",49.1
2016,Thousand cubic metres,"Above-ground biomass reserves in forests, thousands m.c.",49.1
2017,Thousand cubic metres,"Above-ground biomass reserves in forests, thousands m.c.",49.2
2018,Thousand cubic metres,"Above-ground biomass reserves in forests, thousands m.c.",49.3
2010,Thousand hectares,"Forest area included in the forest management certification system, independently verified, thousands ha",0
2011,Thousand hectares,"Forest area included in the forest management certification system, independently verified, thousands ha",0
2012,Thousand hectares,"Forest area included in the forest management certification system, independently verified, thousands ha",0
2013,Thousand hectares,"Forest area included in the forest management certification system, independently verified, thousands ha",0
2014,Thousand hectares,"Forest area included in the forest management certification system, independently verified, thousands ha",0
2015,Thousand hectares,"Forest area included in the forest management certification system, independently verified, thousands ha",0
2016,Thousand hectares,"Forest area included in the forest management certification system, independently verified, thousands ha",0
2017,Thousand hectares,"Forest area included in the forest management certification system, independently verified, thousands ha",0
2018,Thousand hectares,"Forest area included in the forest management certification system, independently verified, thousands ha",0
