Year,Sex,Age groups of the victim,Means of committing,Context/reason,Value
2010,,,,,
2010,Men,,,,
2010,Women,,,,
2010,,0-17 years,,,
2010,,18 years and over,,,
2010,,,Firearms and explosive substances,,
2010,,,"White weapons (Knife, Sharp objects",,
2010,,,"Tools: Row, Axe, Hammer, etc.",,
2010,,,Other means,,
2010,,,,Revenge (code = 14),
2010,,,,Jealousy (code = 15),
2010,,,,Quarrel (code = 16),
2010,,,,Reason related to family relationships (code = 17),
2010,,,,To order (code = 30),
2010,,,,Other reasons,
2011,,,,,
2011,Men,,,,
2011,Women,,,,
2011,,0-17 years,,,
2011,,18 years and over,,,
2011,,,Firearms and explosive substances,,
2011,,,"White weapons (Knife, Sharp objects",,
2011,,,"Tools: Row, Axe, Hammer, etc.",,
2011,,,Other means,,
2011,,,,Revenge (code = 14),
2011,,,,Jealousy (code = 15),
2011,,,,Quarrel (code = 16),
2011,,,,Reason related to family relationships (code = 17),
2011,,,,To order (code = 30),
2011,,,,Other reasons,
2012,,,,,
2012,Men,,,,
2012,Women,,,,
2012,,0-17 years,,,
2012,,18 years and over,,,
2012,,,Firearms and explosive substances,,
2012,,,"White weapons (Knife, Sharp objects",,
2012,,,"Tools: Row, Axe, Hammer, etc.",,
2012,,,Other means,,
2012,,,,Revenge (code = 14),
2012,,,,Jealousy (code = 15),
2012,,,,Quarrel (code = 16),
2012,,,,Reason related to family relationships (code = 17),
2012,,,,To order (code = 30),
2012,,,,Other reasons,
2013,,,,,
2013,Men,,,,
2013,Women,,,,
2013,,0-17 years,,,
2013,,18 years and over,,,
2013,,,Firearms and explosive substances,,
2013,,,"White weapons (Knife, Sharp objects",,
2013,,,"Tools: Row, Axe, Hammer, etc.",,
2013,,,Other means,,
2013,,,,Revenge (code = 14),
2013,,,,Jealousy (code = 15),
2013,,,,Quarrel (code = 16),
2013,,,,Reason related to family relationships (code = 17),
2013,,,,To order (code = 30),
2013,,,,Other reasons,
2014,,,,,6.125413465408916
2014,Men,,,,10.499238805186623
2014,Women,,,,2.0869490286262087
2014,,0-17 years,,,0
2014,,18 years and over,,,7.812674390053349
2014,,,Firearms and explosive substances,,0.2450165386163566
2014,,,"White weapons (Knife, Sharp objects",,1.225082693081783
2014,,,"Tools: Row, Axe, Hammer, etc.",,0.2800189012758361
2014,,,Other means,,4.3752953324349395
2014,,,,Revenge (code = 14),0.2
2014,,,,Jealousy (code = 15),
2014,,,,Quarrel (code = 16),1.4
2014,,,,Reason related to family relationships (code = 17),0.4
2014,,,,To order (code = 30),
2014,,,,Other reasons,4.130278793818583
2015,,,,,6.66777208214413
2015,Men,,,,10.416192925497814
2015,Women,,,,3.1945211922496837
2015,,0-17 years,,,0.6574513896878749
2015,,18 years and over,,,8.31033018963275
2015,,,Firearms and explosive substances,,0.28223373892673564
2015,,,"White weapons (Knife, Sharp objects",,0.9878180862435748
2015,,,"Tools: Row, Axe, Hammer, etc.",,0.28223373892673564
2015,,,Other means,,5.115486518047084
2015,,,,Revenge (code = 14),0.1
2015,,,,Jealousy (code = 15),0.2
2015,,,,Quarrel (code = 16),1.2
2015,,,,Reason related to family relationships (code = 17),0.4
2015,,,,To order (code = 30),0
2015,,,,Other reasons,4.797973561754506
2016,,,,,7.137325715427686
2016,Men,,,,11.287964133979223
2016,Women,,,,3.2976024369282007
2016,,0-17 years,,,1.6560376649206512
2016,,18 years and over,,,8.642896880687537
2016,,,Firearms and explosive substances,,0.24980640003996904
2016,,,"White weapons (Knife, Sharp objects",,1.2847186287769834
2016,,,"Tools: Row, Axe, Hammer, etc.",,0.17843314288569215
2016,,,Other means,,5.424367543725042
2016,,,,Revenge (code = 14),0.1
2016,,,,Jealousy (code = 15),0.1
2016,,,,Quarrel (code = 16),0.9
2016,,,,Reason related to family relationships (code = 17),0.4
2016,,,,To order (code = 30),
2016,,,,Other reasons,5.638487315187872
2017,,,,,5.117673832135942
2017,Men,,,,7.956878266582702
2017,Women,,,,2.507756630578191
2017,,0-17 years,,,2.0016513623739587
2017,,18 years and over,,,5.984207259539244
2017,,,Firearms and explosive substances,,0.508137827304278
2017,,,"White weapons (Knife, Sharp objects",,1.5970046000991596
2017,,,"Tools: Row, Axe, Hammer, etc.",,0.4718422682111153
2017,,,Other means,,2.5406891365213897
2017,,,,Revenge (code = 14),0.2
2017,,,,Jealousy (code = 15),0.2
2017,,,,Quarrel (code = 16),1.6
2017,,,,Reason related to family relationships (code = 17),0.4
2017,,,,To order (code = 30),0
2017,,,,Other reasons,2.6495758138008783
2018,,,,,6.134404809373371
2018,Men,,,,9.912936537070511
2018,Women,,,,2.6858787099583195
2018,,0-17 years,,,1.6848887383721618
2018,,18 years and over,,,7.384489542426733
2018,,,Firearms and explosive substances,,0.48040519591478203
2018,,,"White weapons (Knife, Sharp objects",,1.625986816942339
2018,,,"Tools: Row, Axe, Hammer, etc.",,0.5543136875939793
2018,,,Other means,,3.47369910892227
2018,,,,Revenge (code = 14),0.2
2018,,,,Jealousy (code = 15),0.1
2018,,,,Quarrel (code = 16),1.5
2018,,,,Reason related to family relationships (code = 17),0.5
2018,,,,To order (code = 30),0
2018,,,,Other reasons,3.8432415673182563
