Year,Types of crimes,Sex,Age group,Value
2010,,,,
2010,Premeditated severe injuries,,,
2010,Kidnapping a person,,,
2010,Sexual assault,,,
2010,Robbery,,,
2010,Brigandage,,,
2010,Blackmail,,,
2010,Domestic violence,,,
2010,Hooliganism,,,
2010,,Men,,
2010,,Women,,
2010,,,0-17 years,
2010,,,18 years and over,
2011,,,,
2011,Premeditated severe injuries,,,
2011,Kidnapping a person,,,
2011,Sexual assault,,,
2011,Robbery,,,
2011,Brigandage,,,
2011,Blackmail,,,
2011,Domestic violence,,,
2011,Hooliganism,,,
2011,,Men,,
2011,,Women,,
2011,,,0-17 years,
2011,,,18 years and over,
2012,,,,
2012,Premeditated severe injuries,,,
2012,Kidnapping a person,,,
2012,Sexual assault,,,
2012,Robbery,,,
2012,Brigandage,,,
2012,Blackmail,,,
2012,Domestic violence,,,
2012,Hooliganism,,,
2012,,Men,,
2012,,Women,,
2012,,,0-17 years,
2012,,,18 years and over,
2013,,,,
2013,Premeditated severe injuries,,,
2013,Kidnapping a person,,,
2013,Sexual assault,,,
2013,Robbery,,,
2013,Brigandage,,,
2013,Blackmail,,,
2013,Domestic violence,,,
2013,Hooliganism,,,
2013,,Men,,
2013,,Women,,
2013,,,0-17 years,
2013,,,18 years and over,
2014,,,,97.8
2014,Premeditated severe injuries,,,4.6
2014,Kidnapping a person,,,1.4
2014,Sexual assault,,,9.6
2014,Robbery,,,22.8
2014,Brigandage,,,2.2
2014,Blackmail,,,1.2
2014,Domestic violence,,,30.5
2014,Hooliganism,,,25.6
2014,,Men,,96.5
2014,,Women,,99.0
2014,,,0-17 years,41.5
2014,,,18 years and over,113.3
2015,,,,115.7
2015,Premeditated severe injuries,,,4.8
2015,Kidnapping a person,,,1.4
2015,Sexual assault,,,11.1
2015,Robbery,,,25.1
2015,Brigandage,,,2.6
2015,Blackmail,,,0.6
2015,Domestic violence,,,39.9
2015,Hooliganism,,,30.2
2015,,Men,,112.5
2015,,Women,,118.7
2015,,,0-17 years,52.8
2015,,,18 years and over,93.8
2016,,,,132.4
2016,Premeditated severe injuries,,,5.8
2016,Kidnapping a person,,,1.4
2016,Sexual assault,,,13.6
2016,Robbery,,,27.4
2016,Brigandage,,,2.9
2016,Blackmail,,,1.2
2016,Domestic violence,,,39.6
2016,Hooliganism,,,40.5
2016,,Men,,138.1
2016,,Women,,127.2
2016,,,0-17 years,51.7
2016,,,18 years and over,154.6
2017,,,,117.2
2017,Premeditated severe injuries,,,5.8
2017,Kidnapping a person,,,1.2
2017,Sexual assault,,,17.7
2017,Robbery,,,25.1
2017,Brigandage,,,2.6
2017,Blackmail,,,1.3
2017,Domestic violence,,,21.1
2017,Hooliganism,,,42.5
2017,,Men,,135.7
2017,,Women,,100.2
2017,,,0-17 years,78.4
2017,,,18 years and over,128.1
2018,,,,119.3
2018,Premeditated severe injuries,,,6.7
2018,Kidnapping a person,,,1.6
2018,Sexual assault,,,20.2
2018,Robbery,,,21.8
2018,Brigandage,,,2.4
2018,Blackmail,,,2.9
2018,Domestic violence,,,25.0
2018,Hooliganism,,,38.7
2018,,Men,,134.1
2018,,Women,,105.8
2018,,,0-17 years,96.7
2018,,,18 years and over,125.7
