Year,"Average tariff status, type of products","Preferential tariff status, type of products",Value
2010,AGR,,11.19
2010,ALP,,3.62
2010,CLO,,11.91
2010,IND,,2
2010,OIL,,
2010,TEX,,4.51
2010,,AGR,5.5
2010,,ALP,2.37
2010,,CLO,11.24
2010,,IND,1.49
2010,,OIL,
2010,,TEX,4.1
2011,AGR,,
2011,ALP,,
2011,CLO,,
2011,IND,,
2011,OIL,,
2011,TEX,,
2011,,AGR,
2011,,ALP,
2011,,CLO,
2011,,IND,
2011,,OIL,
2011,,TEX,
2012,AGR,,
2012,ALP,,
2012,CLO,,
2012,IND,,
2012,OIL,,
2012,TEX,,
2012,,AGR,
2012,,ALP,
2012,,CLO,
2012,,IND,
2012,,OIL,
2012,,TEX,
2013,AGR,,
2013,ALP,,
2013,CLO,,
2013,IND,,
2013,OIL,,
2013,TEX,,
2013,,AGR,
2013,,ALP,
2013,,CLO,
2013,,IND,
2013,,OIL,
2013,,TEX,
2014,AGR,,
2014,ALP,,
2014,CLO,,
2014,IND,,
2014,OIL,,
2014,TEX,,
2014,,AGR,
2014,,ALP,
2014,,CLO,
2014,,IND,
2014,,OIL,
2014,,TEX,
2015,AGR,,11.87
2015,ALP,,4.82
2015,CLO,,11.73
2015,IND,,3.28
2015,OIL,,0
2015,TEX,,5.29
2015,,AGR,6.56
2015,,ALP,3.44
2015,,CLO,9.67
2015,,IND,2.61
2015,,OIL,0
2015,,TEX,4.77
2016,AGR,,12.41
2016,ALP,,5.53
2016,CLO,,11.95
2016,IND,,3.36
2016,OIL,,
2016,TEX,,5.77
2016,,AGR,4.31
2016,,ALP,2.86
2016,,CLO,9.56
2016,,IND,2.07
2016,,OIL,
2016,,TEX,4.62
2017,AGR,,14.44
2017,ALP,,5.37
2017,CLO,,11.94
2017,IND,,3.48
2017,OIL,,0
2017,TEX,,5.38
2017,,AGR,7.26
2017,,ALP,3.66
2017,,CLO,10.02
2017,,IND,2.7
2017,,OIL,0
2017,,TEX,4.82
2018,AGR,,
2018,ALP,,
2018,CLO,,
2018,IND,,
2018,OIL,,
2018,TEX,,
2018,,AGR,
2018,,ALP,
2018,,CLO,
2018,,IND,
2018,,OIL,
2018,,TEX,
