Year,Area of residence,Regions,Speeds,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Mun. Chișinău,,
2010,,North,,
2010,,Center,,
2010,,South,,
2010,,ATU Gagauzia,,
2010,,,Under 2 Mbps,
2010,,,2-10 mbps,
2010,,,10-30 mbps,
2010,,,30-100 mbps,
2010,,,Over 100 Mbps,
2011,,,,355099
2011,Urban,,,241818
2011,Rural,,,113281
2011,,Mun. Chișinău,,163738
2011,,North,,74625
2011,,Center,,67462
2011,,South,,36719
2011,,ATU Gagauzia,,12555
2011,,,Under 2 Mbps,
2011,,,2-10 mbps,
2011,,,10-30 mbps,
2011,,,30-100 mbps,
2011,,,Over 100 Mbps,
2012,,,,417177
2012,Urban,,,265624
2012,Rural,,,151553
2012,,Mun. Chișinău,,181226
2012,,North,,90551
2012,,Center,,83459
2012,,South,,44532
2012,,ATU Gagauzia,,17409
2012,,,Under 2 Mbps,55539
2012,,,2-10 mbps,182853
2012,,,10-30 mbps,60937
2012,,,30-100 mbps,112851
2012,,,Over 100 Mbps,1763
2013,,,,467072
2013,Urban,,,280692
2013,Rural,,,186380
2013,,Mun. Chișinău,,195749
2013,,North,,102846
2013,,Center,,97104
2013,,South,,51812
2013,,ATU Gagauzia,,19561
2013,,,Under 2 Mbps,56783
2013,,,2-10 mbps,182832
2013,,,10-30 mbps,85943
2013,,,30-100 mbps,128395
2013,,,Over 100 Mbps,9194
2014,,,,509195
2014,Urban,,,317647
2014,Rural,,,191548
2014,,Mun. Chișinău,,210595
2014,,North,,114073
2014,,Center,,107079
2014,,South,,56375
2014,,ATU Gagauzia,,21073
2014,,,Under 2 Mbps,40839
2014,,,2-10 mbps,163322
2014,,,10-30 mbps,94733
2014,,,30-100 mbps,183495
2014,,,Over 100 Mbps,20294
2015,,,,534393
2015,Urban,,,323055
2015,Rural,,,211338
2015,,Mun. Chișinău,,221813
2015,,North,,120618
2015,,Center,,111491
2015,,South,,58419
2015,,ATU Gagauzia,,22052
2015,,,Under 2 Mbps,23393
2015,,,2-10 mbps,52550
2015,,,10-30 mbps,176204
2015,,,30-100 mbps,240016
2015,,,Over 100 Mbps,30025
2016,,,,557403
2016,Urban,,,342434
2016,Rural,,,214969
2016,,Mun. Chișinău,,225171
2016,,North,,126608
2016,,Center,,114464
2016,,South,,69057
2016,,ATU Gagauzia,,22103
2016,,,Under 2 Mbps,23267
2016,,,2-10 mbps,31903
2016,,,10-30 mbps,191971
2016,,,30-100 mbps,266468
2016,,,Over 100 Mbps,30656
2017,,,,584330
2017,Urban,,,355858
2017,Rural,,,228472
2017,,Mun. Chișinău,,232202
2017,,North,,133583
2017,,Center,,122912
2017,,South,,72973
2017,,ATU Gagauzia,,22660
2017,,,Under 2 Mbps,21343
2017,,,2-10 mbps,26251
2017,,,10-30 mbps,190021
2017,,,30-100 mbps,295253
2017,,,Over 100 Mbps,39937
2018,,,,623135
2018,Urban,,,377325
2018,Rural,,,245810
2018,,Mun. Chișinău,,245821
2018,,North,,141674
2018,,Center,,142291
2018,,South,,69756
2018,,ATU Gagauzia,,23593
2018,,,Under 2 Mbps,18861
2018,,,2-10 mbps,8364
2018,,,10-30 mbps,194431
2018,,,30-100 mbps,338871
2018,,,Over 100 Mbps,62608
