Year,Sex,Age group,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,0-14,
2010,,15-24,
2010,,25-34,
2010,,35-44,
2010,,45-54,
2010,,55-64,
2010,,65+,
2011,,,
2011,Men,,
2011,Women,,
2011,,0-14,
2011,,15-24,
2011,,25-34,
2011,,35-44,
2011,,45-54,
2011,,55-64,
2011,,65+,
2012,,,
2012,Men,,
2012,Women,,
2012,,0-14,
2012,,15-24,
2012,,25-34,
2012,,35-44,
2012,,45-54,
2012,,55-64,
2012,,65+,
2013,,,
2013,Men,,
2013,Women,,
2013,,0-14,
2013,,15-24,
2013,,25-34,
2013,,35-44,
2013,,45-54,
2013,,55-64,
2013,,65+,
2014,,,96.2
2014,Men,,139.4
2014,Women,,56.2
2014,,0-14,20.312698366194983
2014,,15-24,67.28132967130668
2014,,25-34,132.2371812986856
2014,,35-44,164.55627114943783
2014,,45-54,155.8060672715608
2014,,55-64,98.23454883894318
2014,,65+,50.64114186396914
2015,,,83.7
2015,Men,,125.4
2015,Women,,45.1
2015,,0-14,20.545934840035223
2015,,15-24,55.993486262332056
2015,,25-34,108.30433734109621
2015,,35-44,145.7084805033958
2015,,45-54,137.80980077260298
2015,,55-64,88.04344818391522
2015,,65+,44.75012013455069
2016,,,82.4
2016,Men,,120.1
2016,Women,,47.5
2016,,0-14,18.165410714076437
2016,,15-24,62.89741927474862
2016,,25-34,115.18697665879083
2016,,35-44,135.5192079655179
2016,,45-54,123.14925465246101
2016,,55-64,88.17853381772741
2016,,65+,48.420533785644906
2017,,,78.9
2017,Men,,117.7
2017,Women,,43.2
2017,,0-14,21.506007018778654
2017,,15-24,54.81388738292143
2017,,25-34,105.13045631570654
2017,,35-44,133.26363175899868
2017,,45-54,130.92145002008618
2017,,55-64,79.77773669294689
2017,,65+,43.030954162190135
2018,,,75.7
2018,Men,,115.9
2018,Women,,38.9
2018,,0-14,17.11365433565581
2018,,15-24,52.33117507865928
2018,,25-34,98.49658186446308
2018,,35-44,128.1489684144082
2018,,45-54,121.16543970612196
2018,,55-64,89.12383629733749
2018,,65+,40.845082005411285
