Year,Sex,Area of residence,Age group,Value
2010,,,,
2010,Men,,,
2010,Women,,,
2010,,Urban,,
2010,,Rural,,
2010,,,18-29,
2010,,,30-44,
2010,,,45-59,
2010,,,60-69,
2011,,,,
2011,Men,,,
2011,Women,,,
2011,,Urban,,
2011,,Rural,,
2011,,,18-29,
2011,,,30-44,
2011,,,45-59,
2011,,,60-69,
2012,,,,
2012,Men,,,
2012,Women,,,
2012,,Urban,,
2012,,Rural,,
2012,,,18-29,
2012,,,30-44,
2012,,,45-59,
2012,,,60-69,
2013,,,,61.9
2013,Men,,,69.8
2013,Women,,,53.5
2013,,Urban,,
2013,,Rural,,
2013,,,18-29,
2013,,,30-44,
2013,,,45-59,
2013,,,60-69,
2014,,,,
2014,Men,,,
2014,Women,,,
2014,,Urban,,
2014,,Rural,,
2014,,,18-29,
2014,,,30-44,
2014,,,45-59,
2014,,,60-69,
2015,,,,
2015,Men,,,
2015,Women,,,
2015,,Urban,,
2015,,Rural,,
2015,,,18-29,
2015,,,30-44,
2015,,,45-59,
2015,,,60-69,
2016,,,,
2016,Men,,,
2016,Women,,,
2016,,Urban,,
2016,,Rural,,
2016,,,18-29,
2016,,,30-44,
2016,,,45-59,
2016,,,60-69,
2017,,,,
2017,Men,,,
2017,Women,,,
2017,,Urban,,
2017,,Rural,,
2017,,,18-29,
2017,,,30-44,
2017,,,45-59,
2017,,,60-69,
2018,,,,
2018,Men,,,
2018,Women,,,
2018,,Urban,,
2018,,Rural,,
2018,,,18-29,
2018,,,30-44,
2018,,,45-59,
2018,,,60-69,
