Year,Area of residence,Sex of the head of the household,"Age of the head of the household, years",Quintiles on consumption expenditures,Household type,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Men,,,,
2010,,Women,,,,
2010,,,<30,,,
2010,,,30-39,,,
2010,,,40-49,,,
2010,,,50-59,,,
2010,,,60-64,,,
2010,,,65+,,,
2010,,,,I,,
2010,,,,II,,
2010,,,,III,,
2010,,,,IV,,
2010,,,,V,,
2010,,,,,With children up to 18 years,
2010,,,,,Without children up to 18 years,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Men,,,,
2011,,Women,,,,
2011,,,<30,,,
2011,,,30-39,,,
2011,,,40-49,,,
2011,,,50-59,,,
2011,,,60-64,,,
2011,,,65+,,,
2011,,,,I,,
2011,,,,II,,
2011,,,,III,,
2011,,,,IV,,
2011,,,,V,,
2011,,,,,With children up to 18 years,
2011,,,,,Without children up to 18 years,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Men,,,,
2012,,Women,,,,
2012,,,<30,,,
2012,,,30-39,,,
2012,,,40-49,,,
2012,,,50-59,,,
2012,,,60-64,,,
2012,,,65+,,,
2012,,,,I,,
2012,,,,II,,
2012,,,,III,,
2012,,,,IV,,
2012,,,,V,,
2012,,,,,With children up to 18 years,
2012,,,,,Without children up to 18 years,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Men,,,,
2013,,Women,,,,
2013,,,<30,,,
2013,,,30-39,,,
2013,,,40-49,,,
2013,,,50-59,,,
2013,,,60-64,,,
2013,,,65+,,,
2013,,,,I,,
2013,,,,II,,
2013,,,,III,,
2013,,,,IV,,
2013,,,,V,,
2013,,,,,With children up to 18 years,
2013,,,,,Without children up to 18 years,
2014,,,,,,2.5
2014,Urban,,,,,1.9
2014,Rural,,,,,2.9
2014,,Men,,,,2.3
2014,,Women,,,,2.8
2014,,,<30,,,2.5
2014,,,30-39,,,0.4
2014,,,40-49,,,1.4
2014,,,50-59,,,2.7
2014,,,60-64,,,4.3
2014,,,65+,,,5.1
2014,,,,I,,1
2014,,,,II,,1.4
2014,,,,III,,2.3
2014,,,,IV,,3.8
2014,,,,V,,3.9
2014,,,,,With children up to 18 years,1.4
2014,,,,,Without children up to 18 years,3.7
2015,,,,,,3.1
2015,Urban,,,,,2.2
2015,Rural,,,,,3.8
2015,,Men,,,,2.9
2015,,Women,,,,3.6
2015,,,<30,,,0.6
2015,,,30-39,,,0.9
2015,,,40-49,,,2.5
2015,,,50-59,,,3.4
2015,,,60-64,,,6.1
2015,,,65+,,,5.6
2015,,,,I,,0.9
2015,,,,II,,1.3
2015,,,,III,,3.5
2015,,,,IV,,4.2
2015,,,,V,,5.6
2015,,,,,With children up to 18 years,1.8
2015,,,,,Without children up to 18 years,4.6
2016,,,,,,2.9
2016,Urban,,,,,2.5
2016,Rural,,,,,3.2
2016,,Men,,,,2.7
2016,,Women,,,,3.5
2016,,,<30,,,1.3
2016,,,30-39,,,1.4
2016,,,40-49,,,1.3
2016,,,50-59,,,3.1
2016,,,60-64,,,3.9
2016,,,65+,,,7
2016,,,,I,,1.1
2016,,,,II,,1.6
2016,,,,III,,2.8
2016,,,,IV,,3.3
2016,,,,V,,6
2016,,,,,With children up to 18 years,1.3
2016,,,,,Without children up to 18 years,4.7
2017,,,,,,3
2017,Urban,,,,,2.6
2017,Rural,,,,,3.3
2017,,Men,,,,2.9
2017,,Women,,,,3.3
2017,,,<30,,,0.6
2017,,,30-39,,,1.3
2017,,,40-49,,,2
2017,,,50-59,,,2.5
2017,,,60-64,,,5.1
2017,,,65+,,,7.1
2017,,,,I,,1.4
2017,,,,II,,1.6
2017,,,,III,,2.1
2017,,,,IV,,3.9
2017,,,,V,,6.1
2017,,,,,With children up to 18 years,1.6
2017,,,,,Without children up to 18 years,4.5
2018,,,,,,1.8
2018,Urban,,,,,1.5
2018,Rural,,,,,2
2018,,Men,,,,1.5
2018,,Women,,,,2.2
2018,,,<30,,,1.8
2018,,,30-39,,,1.3
2018,,,40-49,,,0.8
2018,,,50-59,,,1.5
2018,,,60-64,,,1.4
2018,,,65+,,,4.1
2018,,,,I,,0.4
2018,,,,II,,0.8
2018,,,,III,,2.1
2018,,,,IV,,1.8
2018,,,,V,,3.7
2018,,,,,With children up to 18 years,0.9
2018,,,,,Without children up to 18 years,2.6
