Year,Value
2010,98.1
2010,94.1
2010,93.2
2010,95.7
2010,96.7
2010,77.3
2010,0
2010,0
2010,98.2
2010,98.6
2010,
2011,98.5
2011,94.1
2011,92.8
2011,95.7
2011,96.3
2011,80.1
2011,0
2011,0
2011,98
2011,97.8
2011,
2012,98.2
2012,94.1
2012,92.2
2012,94.8
2012,95.1
2012,92.5
2012,24.9
2012,0
2012,97.1
2012,97.1
2012,
2013,98
2013,93.1
2013,91.5
2013,93.7
2013,93.7
2013,92.5
2013,48.2
2013,0
2013,96.8
2013,97.1
2013,
2014,97.9
2014,91.7
2014,90.3
2014,92.5
2014,92.5
2014,91.3
2014,75.6
2014,32.8
2014,96.6
2014,96.5
2014,
2015,97.7
2015,91.1
2015,89.7
2015,91.7
2015,91.9
2015,90.9
2015,77.7
2015,83.1
2015,96.5
2015,97
2015,
2016,97.2
2016,90.3
2016,88.8
2016,91.5
2016,90.5
2016,90.2
2016,79.3
2016,86.2
2016,96.7
2016,97.2
2016,
2017,97.21
2017,90.1
2017,88.1
2017,91.1
2017,90.3
2017,89.9
2017,79.7
2017,85.7
2017,95
2017,95.6
2017,
2018,96.9
2018,91.6
2018,90.6
2018,92.1
2018,92.2
2018,91.2
2018,80.6
2018,89
2018,95.9
2018,97.1
2018,
