Year,Sex,Value
2010,,
2010,,
2010,,
2010,Boys,
2010,Girls,
2011,,
2011,,
2011,,
2011,Boys,
2011,Girls,
2012,,
2012,,
2012,,
2012,Boys,
2012,Girls,
2013,,
2013,,
2013,,
2013,Boys,
2013,Girls,
2014,,107.1
2014,,
2014,,
2014,Boys,107.8
2014,Girls,106.4
2015,,106.5
2015,,
2015,,
2015,Boys,106.9
2015,Girls,106
2016,,107.1
2016,,
2016,,
2016,Boys,107.5
2016,Girls,106.7
2017,,101.6
2017,,
2017,,
2017,Boys,102.3
2017,Girls,100.8
2018,,101.5
2018,,
2018,,
2018,Boys,104.1
2018,Girls,98.7
