Year,Total,Spatial extent of water-related ecosystems,Amount (discharge) of water into rivers and estuaries,Quality of water-related ecosystems,Amount of groundwater in aquifers,Value
2010,,,,,,
2010,,,,,,
2010,,,,,,
2010,,,,,,
2010,,,,,,
2010,Total,,,,,
2010,,,,,,
2010,,,,,,
2010,,,,,,
2010,,,,,,
2011,,,,,,
2011,,,,,,
2011,,,,,,
2011,,,,,,
2011,,,,,,
2011,Total,,,,,
2011,,,,,,
2011,,,,,,
2011,,,,,,
2011,,,,,,
2012,,,,,,
2012,,,,,,
2012,,,,,,
2012,,,,,,
2012,,,,,,
2012,Total,,,,,
2012,,,,,,
2012,,,,,,
2012,,,,,,
2012,,,,,,
2013,,,,,,0
2013,,,,,,0
2013,,,,,,30
2013,,,,,,16
2013,,,,,,53
2013,Total,,,,,
2013,,,,,,
2013,,,,,,
2013,,,,,,
2013,,,,,,
2014,,,,,,0
2014,,,,,,0
2014,,,,,,17
2014,,,,,,26
2014,,,,,,57
2014,Total,,,,,
2014,,,,,,
2014,,,,,,
2014,,,,,,
2014,,,,,,
2015,,,,,,0
2015,,,,,,0
2015,,,,,,22
2015,,,,,,20
2015,,,,,,58
2015,Total,,,,,
2015,,,,,,
2015,,,,,,
2015,,,,,,
2015,,,,,,
2016,,,,,,0
2016,,,,,,0
2016,,,,,,24
2016,,,,,,20
2016,,,,,,56
2016,Total,,,,,
2016,,,,,,
2016,,,,,,
2016,,,,,,
2016,,,,,,
2017,,,,,,0
2017,,,,,,2
2017,,,,,,35
2017,,,,,,12
2017,,,,,,51
2017,Total,,,,,
2017,,,,,,
2017,,,,,,
2017,,,,,,
2017,,,,,,
2018,,,,,,0
2018,,,,,,0
2018,,,,,,26
2018,,,,,,21
2018,,,,,,52
2018,Total,,,,,
2018,,,,,,
2018,,,,,,
2018,,,,,,
2018,,,,,,
