Year,Types of energy,Value
2010,,2633
2010,Coal,116
2010,Natural gas,962
2010,Petrol products,776
2010,Bio-fuel and waste,512
2010,Electricity,267
2011,,2676
2011,Coal,120
2011,Natural gas,930
2011,Petrol products,812
2011,Bio-fuel and waste,537
2011,Electricity,277
2012,,2624
2012,Coal,116
2012,Natural gas,885
2012,Petrol products,764
2012,Bio-fuel and waste,574
2012,Electricity,285
2013,,2643
2013,Coal,150
2013,Natural gas,834
2013,Petrol products,785
2013,Bio-fuel and waste,584
2013,Electricity,290
2014,,2669
2014,Coal,95
2014,Natural gas,850
2014,Petrol products,803
2014,Bio-fuel and waste,629
2014,Electricity,292
2015,,2686
2015,Coal,102
2015,Natural gas,816
2015,Petrol products,829
2015,Bio-fuel and waste,650
2015,Electricity,289
2016,,2796
2016,Coal,75
2016,Natural gas,837
2016,Petrol products,896
2016,Bio-fuel and waste,698
2016,Electricity,290
2017,,2939
2017,Coal,105
2017,Natural gas,836
2017,Petrol products,937
2017,Bio-fuel and waste,764
2017,Electricity,297
2018,,3087
2018,Coal,80
2018,Natural gas,911
2018,Petrol products,1002
2018,Bio-fuel and waste,787
2018,Electricity,307
