Year,Total,Regions,Value
2010,Total,,
2010,,Mun. Chișinău,
2010,,Norh,
2010,,Center,
2010,,South,
2010,,Atugagauzia,
2011,Total,,105.9
2011,,Mun. Chișinău,
2011,,Norh,
2011,,Center,
2011,,South,
2011,,Atugagauzia,
2012,Total,,99.4
2012,,Mun. Chișinău,
2012,,Norh,
2012,,Center,
2012,,South,
2012,,Atugagauzia,
2013,Total,,109.1
2013,,Mun. Chișinău,
2013,,Norh,
2013,,Center,
2013,,South,
2013,,Atugagauzia,
2014,Total,,105.1
2014,,Mun. Chișinău,105.5
2014,,Norh,105.2
2014,,Center,104.7
2014,,South,100.7
2014,,Atugagauzia,101.3
2015,Total,,99.7
2015,,Mun. Chișinău,101.7
2015,,Norh,96.7
2015,,Center,99.3
2015,,South,92.2
2015,,Atugagauzia,93.4
2016,Total,,104.5
2016,,Mun. Chișinău,102.4
2016,,Norh,106.4
2016,,Center,107.2
2016,,South,105.9
2016,,Atugagauzia,103.5
2017,Total,,104.8
2017,,Mun. Chișinău,104.8
2017,,Norh,104.4
2017,,Center,103.9
2017,,South,103
2017,,Atugagauzia,102.8
2018,Total,,104.4
2018,,Mun. Chișinău,
2018,,Norh,
2018,,Center,
2018,,South,
2018,,Atugagauzia,
