Year,Types of accounts,Value
2010,,
2010,"Of deposits, including current",
2010,To borrow,
2011,,
2011,"Of deposits, including current",
2011,To borrow,
2012,,
2012,"Of deposits, including current",
2012,To borrow,
2013,,
2013,"Of deposits, including current",
2013,To borrow,
2014,,215339
2014,"Of deposits, including current",208404
2014,To borrow,6936
2015,,147331
2015,"Of deposits, including current",140369
2015,To borrow,6962
2016,,169738
2016,"Of deposits, including current",159721
2016,To borrow,10017
2017,,168390
2017,"Of deposits, including current",159176
2017,To borrow,9214
2018,,197616
2018,"Of deposits, including current",186500
2018,To borrow,11115
