Year,Of which industrial sector,Size of enterprise,Value
2010,,,
2010,According to metadata codes,,
2010,,1-9 employees,
2010,,10-49 employees,
2011,,,
2011,According to metadata codes,,
2011,,1-9 employees,
2011,,10-49 employees,
2012,,,
2012,According to metadata codes,,
2012,,1-9 employees,
2012,,10-49 employees,
2013,,,
2013,According to metadata codes,,
2013,,1-9 employees,
2013,,10-49 employees,
2014,,,
2014,According to metadata codes,,
2014,,1-9 employees,
2014,,10-49 employees,
2015,,,
2015,According to metadata codes,,
2015,,1-9 employees,
2015,,10-49 employees,
2016,,,
2016,According to metadata codes,,
2016,,1-9 employees,
2016,,10-49 employees,
2017,,,11.6
2017,According to metadata codes,,
2017,,1-9 employees,
2017,,10-49 employees,
2018,,,11.7
2018,According to metadata codes,,
2018,,1-9 employees,
2018,,10-49 employees,
