Year,Value
2010,3.12
2010,0.045
2010,1.777
2010,0.878
2010,0.026000000000000002
2010,0.706
2010,0.484
2010,0.114
2010,0.026000000000000002
2010,0.026000000000000002
2010,0.541
2010,2.092
2010,2.5839999999999996
2010,0.177
2010,6.436
2010,0.006999999999999999
2010,0.113
2011,3.1039999999999996
2011,0.051
2011,1.819
2011,1.11
2011,0.02
2011,0.72
2011,0.473
2011,0.067
2011,0.02
2011,0.02
2011,0.644
2011,2.14
2011,2.708
2011,0.196
2011,6.5520000000000005
2011,0.006
2011,0.11
2012,1.8359999999999999
2012,0.045
2012,0.909
2012,1.103
2012,0.037000000000000005
2012,0.6970000000000001
2012,0.47100000000000003
2012,0.055999999999999994
2012,0.038
2012,0.037000000000000005
2012,0.7709999999999999
2012,1.459
2012,2.155
2012,0.18100000000000002
2012,4.726
2012,0.006999999999999999
2012,0.135
2013,3.41
2013,0.064
2013,1.919
2013,0.73
2013,0.02
2013,0.617
2013,0.365
2013,0.053
2013,0.02
2013,0.02
2013,0.889
2013,1.514
2013,2.331
2013,0.188
2013,6.377999999999999
2013,0.008
2013,0.275
2014,3.824
2014,0.036000000000000004
2014,2.149
2014,1.157
2014,0.051
2014,0.6579999999999999
2014,0.43200000000000005
2014,0.053
2014,0.051
2014,0.051
2014,0.882
2014,1.61
2014,2.425
2014,0.18899999999999997
2014,6.957999999999999
2014,0.008
2014,0.28800000000000003
2015,3.833
2015,0.045
2015,2.161
2015,1.327
2015,0.053
2015,0.688
2015,0.44799999999999995
2015,0.055
2015,0.053
2015,0.053
2015,0.9740000000000001
2015,1.722
2015,2.6310000000000002
2015,0.195
2015,7.204
2015,0.008
2015,0.289
2016,3.858
2016,0.045
2016,2.173
2016,1.3230000000000002
2016,0.055
2016,0.691
2016,0.445
2016,0.055999999999999994
2016,0.055
2016,0.055
2016,1.067
2016,1.8359999999999999
2016,2.839
2016,0.201
2016,7.442
2016,0.008
2016,0.303
2017,3.885
2017,0.046
2017,2.187
2017,1.314
2017,0.055999999999999994
2017,0.6940000000000001
2017,0.442
2017,0.057999999999999996
2017,
2017,0.055999999999999994
2017,1.16
2017,1.9509999999999998
2017,3.048
2017,0.207
2017,7.684
2017,0.008
2017,0.318
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
